ID,SEQUENCE,POS,PROJECT,FILE
2658,adds instead of overrides set value method if only multi arg methods,VBZ RB IN VBZ VB NN NN IN RB JJ NN NNS,gradle,AsmBackedClassGeneratorTest.java
2659,does not override set value method for property that is not convention mapping aware,VBZ RB VB VB NN NN IN NN DT VBZ RB NN VBG JJ,gradle,AsmBackedClassGeneratorTest.java
2660,mixes in closure overload for action method,VBZ IN NN VB IN NN NN,gradle,AsmBackedClassGeneratorTest.java
2661,does not override existing closure overload,VBZ RB VB JJ NN VB,gradle,AsmBackedClassGeneratorTest.java
2662,generates dsl object compatible object,VBZ NNP NN JJ NN,gradle,AsmBackedClassGeneratorTest.java
2663,includes not inherited type annotations,VBZ RB JJ NN NNS,gradle,AsmBackedClassGeneratorTest.java
2664,get prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
2665,set prop,VB NN,gradle,AsmBackedClassGeneratorTest.java
2666,do stuff,VB NN,gradle,AsmBackedClassGeneratorTest.java
2667,get package protected,VB NN VBN,gradle,AsmBackedClassGeneratorTest.java
2668,get protected,VB VBN,gradle,AsmBackedClassGeneratorTest.java
2669,get private,VB JJ,gradle,AsmBackedClassGeneratorTest.java
2670,set files,VB NNS,gradle,AsmBackedClassGeneratorTest.java
2671,get things,VB NNS,gradle,AsmBackedClassGeneratorTest.java
2672,set things,VB NNS,gradle,AsmBackedClassGeneratorTest.java
2673,prop,NN,gradle,AsmBackedClassGeneratorTest.java
2674,get convention,VB NN,gradle,AsmBackedClassGeneratorTest.java
2675,set convention,VB NN,gradle,AsmBackedClassGeneratorTest.java
2676,get convention value,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
2677,get convention mapping,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
2678,set convention mapping,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
2679,get extensions,VB NNS,gradle,AsmBackedClassGeneratorTest.java
2680,get as dynamic object,VB IN JJ NN,gradle,AsmBackedClassGeneratorTest.java
2681,get convention property,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
2682,set convention property,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
2683,convention method,NN NN,gradle,AsmBackedClassGeneratorTest.java
2684,get array property,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
2685,get boolean property,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
2686,get long property,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
2687,get return value property,VB JJ NN NN,gradle,AsmBackedClassGeneratorTest.java
2688,set return value property,VB JJ NN NN,gradle,AsmBackedClassGeneratorTest.java
2689,set boolean property,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
2690,get primitive,VB JJ,gradle,AsmBackedClassGeneratorTest.java
2691,set primitive,VB JJ,gradle,AsmBackedClassGeneratorTest.java
2692,is bool,VBZ NN,gradle,AsmBackedClassGeneratorTest.java
2693,set bool,VB NN,gradle,AsmBackedClassGeneratorTest.java
2694,get final getter,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
2695,set final getter,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
2696,set write only,VB VB RB,gradle,AsmBackedClassGeneratorTest.java
2697,get overloaded,VB VBN,gradle,AsmBackedClassGeneratorTest.java
2698,set overloaded,VB VBN,gradle,AsmBackedClassGeneratorTest.java
2699,get interface property,VB NN NN,gradle,AsmBackedClassGeneratorTest.java
2700,get property,VB NN,gradle,AsmBackedClassGeneratorTest.java
2701,get overridden property,VB VBN NN,gradle,AsmBackedClassGeneratorTest.java
2702,get other property,VB JJ NN,gradle,AsmBackedClassGeneratorTest.java
2703,implement me,VB PRP,gradle,AsmBackedClassGeneratorTest.java
2704,prompt user to combine tasks,VB NN TO VB NNS,gradle,SwingAddMultipleFavoritesInteraction.java
2705,show,VB,gradle,SwingAddMultipleFavoritesInteraction.java
2706,populate values,VB NNS,gradle,SwingAddMultipleFavoritesInteraction.java
2707,setup ui,VB NNP,gradle,SwingAddMultipleFavoritesInteraction.java
2708,create main panel,VB JJ NN,gradle,SwingAddMultipleFavoritesInteraction.java
2709,create separate sample panel,VB JJ JJ NN,gradle,SwingAddMultipleFavoritesInteraction.java
2710,create combined sample panel,VB JJ JJ NN,gradle,SwingAddMultipleFavoritesInteraction.java
2711,get current selection,VB JJ NN,gradle,SwingAddMultipleFavoritesInteraction.java
2712,create button panel,VB NN NN,gradle,SwingAddMultipleFavoritesInteraction.java
2713,get gradle,VB NN,gradle,DefaultBuildExecuter.java
2714,proceed,VB,gradle,DefaultBuildExecuter.java
2715,get log level,VB NN NN,gradle,GradleRunnerInteractionVersion1.java
2716,get stack trace level,VB NN NN NN,gradle,GradleRunnerInteractionVersion1.java
2717,report execution started,VB NN VBN,gradle,GradleRunnerInteractionVersion1.java
2718,report number of tasks to execute,VB NN IN NNS TO VB,gradle,GradleRunnerInteractionVersion1.java
2719,report task started,VB NN VBN,gradle,GradleRunnerInteractionVersion1.java
2720,report task complete,VB NN JJ,gradle,GradleRunnerInteractionVersion1.java
2721,report live output,VB JJ NN,gradle,GradleRunnerInteractionVersion1.java
2722,report execution finished,VB NN VBN,gradle,GradleRunnerInteractionVersion1.java
2723,get custom gradle executable,VB JJ NN JJ,gradle,GradleRunnerInteractionVersion1.java
2724,get compatibility,VB NN,gradle,Utils.java
2725,build recursively,VB RB,gradle,BuildInvocationsConverter.java
2726,collect tasks,VB NNS,gradle,BuildInvocationsConverter.java
2727,convert tasks,VB NNS,gradle,BuildInvocationsConverter.java
2728,locate,VB,gradle,AbstractGccCompatibleToolChain.java
2729,get meta data provider,VB JJ NNS NN,gradle,AbstractGccCompatibleToolChain.java
2730,select,VB,gradle,AbstractGccCompatibleToolChain.java
2731,create platform tool provider,VB NN NN NN,gradle,AbstractGccCompatibleToolChain.java
2732,init tools,VB NNS,gradle,AbstractGccCompatibleToolChain.java
2733,init for implementation,VB IN NN,gradle,AbstractGccCompatibleToolChain.java
2734,add default tools,VB JJ NNS,gradle,AbstractGccCompatibleToolChain.java
2735,configure default tools,VB NN NNS,gradle,AbstractGccCompatibleToolChain.java
2736,get platform configuration,VB NN NN,gradle,AbstractGccCompatibleToolChain.java
2737,supports platform,VBZ NN,gradle,AbstractGccCompatibleToolChain.java
2738,get gc hint action,VB FW NN NN,gradle,StubDaemonHealthServices.java
2739,get health tracker action,VB NN NN NN,gradle,StubDaemonHealthServices.java
2740,create producer,VB NN,gradle,PatternBasedLocallyAvailableResourceFinder.java
2741,get matching files,VB JJ NNS,gradle,PatternBasedLocallyAvailableResourceFinder.java
2742,test ignored,VB VBN,gradle,IgnoredTest.java
2743,get current time,VB JJ NN,gradle,BuildCommencedTimeProvider.java
2744,handle incoming,VB NN,gradle,WorkerProtocol.java
2745,handle outgoing,VB NN,gradle,WorkerProtocol.java
2746,stop requested,VB VBN,gradle,WorkerProtocol.java
2747,resolved,VBD,gradle,BuildableComponentResolveResult.java
2748,not found,RB VBN,gradle,BuildableComponentResolveResult.java
2749,set meta data,VB NN NNS,gradle,BuildableComponentResolveResult.java
2750,get createable types,VB JJ NNS,gradle,PolymorphicDomainObjectContainerInternal.java
2751,get entity instantiator,VB NN NN,gradle,PolymorphicDomainObjectContainerInternal.java
2752,artifacts equal,NNS JJ,gradle,BuildableIvyModuleResolveMetaData.java
2753,attach artifact,VB NN,gradle,BuildableIvyModuleResolveMetaData.java
2754,get causes,VB NNS,gradle,MultiCauseException.java
2755,configure with no java plugin applied,VB IN DT NN NN VBN,gradle,EarPlugin.java
2756,configure with java plugin applied,VB IN NN NN VBN,gradle,EarPlugin.java
2757,setup ear task,VB NN NN,gradle,EarPlugin.java
2758,wire ear task conventions,VB NN NN NNS,gradle,EarPlugin.java
2759,configure configurations,VB NNS,gradle,EarPlugin.java
2760,configure mapping rules,VB JJ NNS,gradle,JettyPlugin.java
2761,configure jetty run war,VB NNP NN NN,gradle,JettyPlugin.java
2762,configure jetty stop,VB NNP NN,gradle,JettyPlugin.java
2763,configure jetty run,VB NNP VB,gradle,JettyPlugin.java
2764,get web xml,VB NN NNP,gradle,JettyPlugin.java
2765,configure abstract jetty task,VB JJ NN NN,gradle,JettyPlugin.java
2766,get java convention,VB NN NN,gradle,JettyPlugin.java
2767,get war convention,VB NN NN,gradle,JettyPlugin.java
2768,get build analysis,VB VB NN,gradle,DefaultGradleLauncher.java
2769,do build,VBP VB,gradle,DefaultGradleLauncher.java
2770,do build stages,VB VBP NNS,gradle,DefaultGradleLauncher.java
2771,add standard output listener,VB JJ NN NN,gradle,DefaultGradleLauncher.java
2772,add standard error listener,VB JJ NN NN,gradle,DefaultGradleLauncher.java
2773,is incremental,VBZ JJ,gradle,ChangesOnlyIncrementalTaskInputs.java
2774,do out of date,VB IN IN NN,gradle,ChangesOnlyIncrementalTaskInputs.java
2775,do removed,VB VBN,gradle,ChangesOnlyIncrementalTaskInputs.java
2776,get test execution descriptors,VB NN NN NNS,gradle,ProviderInternalTestExecutionRequest.java
2777,get test class names,VB NN NN NNS,gradle,ProviderInternalTestExecutionRequest.java
2778,get internal jvm test requests,VB JJ NNP NN NNS,gradle,ProviderInternalTestExecutionRequest.java
2779,register global services,VB JJ NNS,gradle,JavaLanguagePluginServiceRegistry.java
2780,register build session services,VB NN NN NNS,gradle,JavaLanguagePluginServiceRegistry.java
2781,register build services,VB NN NNS,gradle,JavaLanguagePluginServiceRegistry.java
2782,register gradle services,VB NN NNS,gradle,JavaLanguagePluginServiceRegistry.java
2783,register project services,VB NN NNS,gradle,JavaLanguagePluginServiceRegistry.java
2784,convertable rule,JJ NN,gradle,DefaultExcludeRuleConverterTest.java
2785,unconvertable rules,JJ NNS,gradle,DefaultExcludeRuleConverterTest.java
2786,check for null,VB IN NN,gradle,DefaultExcludeRuleConverterTest.java
2787,get text to search,VB NN TO VBP,gradle,SearchPanel.java
2788,get caret location,VB NN NN,gradle,SearchPanel.java
2789,highlight and scroll to result,VB CC VB TO VBP,gradle,SearchPanel.java
2790,search complete,VB JJ,gradle,SearchPanel.java
2791,remove result highlights,VB NN NNS,gradle,SearchPanel.java
2792,get component,VB NN,gradle,SearchPanel.java
2793,create text to match field,VB NN TO VBP NN,gradle,SearchPanel.java
2794,insert update,VB NN,gradle,SearchPanel.java
2795,remove update,VB NN,gradle,SearchPanel.java
2796,changed update,JJ NN,gradle,SearchPanel.java
2797,request search,VB NN,gradle,SearchPanel.java
2798,get next available request,VB JJ JJ NN,gradle,SearchPanel.java
2799,perform search again,VB NN RB,gradle,SearchPanel.java
2800,go to next match,VB TO JJ NN,gradle,SearchPanel.java
2801,go to previous match,VB TO JJ NN,gradle,SearchPanel.java
2802,add additional fields,VB JJ NNS,gradle,SearchPanel.java
2803,show normal color,VB JJ NN,gradle,SearchPanel.java
2804,show no match color,VB DT NN NN,gradle,SearchPanel.java
2805,enable buttons and fields appropriately,VB NNS CC NNS RB,gradle,SearchPanel.java
2806,get task configurations,VB NN NNS,gradle,DependencyReportTask.java
2807,get jvm test kind,VB NNP NN NN,gradle,DefaultJvmTestOperationDescriptor.java
2808,get console,VB NN,gradle,NativePlatformConsoleDetector.java
2809,add dependency descriptors,VB NN NNS,gradle,DependenciesToModuleDescriptorConverter.java
2810,percent of,NN IN,gradle,NumberUtil.java
2811,format bytes,NN NNS,gradle,NumberUtil.java
2812,ordinal,JJ,gradle,NumberUtil.java
2813,remove cache entry,VB NN NN,gradle,FinalizerThread.java
2814,get reference queue,VB NN NN,gradle,FinalizerThread.java
2815,put cleanup,VB NN,gradle,FinalizerThread.java
2816,stateful,JJ,gradle,Serializers.java
2817,new reader,JJ NN,gradle,Serializers.java
2818,new writer,JJ NN,gradle,Serializers.java
2819,get g c hint action,VB FW FW NN NN,gradle,DaemonHealthServices.java
2820,handle message received,VB NN VBN,gradle,ExecuteGradleCommandServerProtocol.java
2821,report client exit,VB NN NN,gradle,ExecuteGradleCommandServerProtocol.java
2822,add status,VB NN,gradle,ExecuteGradleCommandServerProtocol.java
2823,get init script file,VB JJ NN NN,gradle,ExecuteGradleCommandServerProtocol.java
2824,get single file,VB JJ NN,gradle,AbstractFileCollection.java
2825,get as path,VB IN NN,gradle,AbstractFileCollection.java
2826,plus,IN,gradle,AbstractFileCollection.java
2827,minus,IN,gradle,AbstractFileCollection.java
2828,get build dependencies,VB NN NNS,gradle,AbstractFileCollection.java
2829,add to ant builder,VB TO NN NN,gradle,AbstractFileCollection.java
2830,add as matching task,VB IN JJ NN,gradle,AbstractFileCollection.java
2831,add as file set,VB IN NN NN,gradle,AbstractFileCollection.java
2832,add as resource collection,VB IN NN NN,gradle,AbstractFileCollection.java
2833,get as file trees,VB IN NN NNS,gradle,AbstractFileCollection.java
2834,stop execution if empty,VB NN IN JJ,gradle,AbstractFileCollection.java
2835,as type,IN NN,gradle,AbstractFileCollection.java
2836,get as file tree,VB IN NN NN,gradle,AbstractFileCollection.java
2837,visit contents,VB NNS,gradle,AbstractFileCollection.java
2838,visit dependencies,VB NNS,gradle,AbstractFileCollection.java
2839,get cap display name,VB NN NN NN,gradle,AbstractFileCollection.java
2840,register watch points,VB NN NNS,gradle,AbstractFileCollection.java
2841,get project dir,VB NN NN,gradle,ProjectDescriptor.java
2842,set project dir,VB NN NN,gradle,ProjectDescriptor.java
2843,get build file name,VB NN NN NN,gradle,ProjectDescriptor.java
2844,set build file name,VB NN NN NN,gradle,ProjectDescriptor.java
2845,get build file,VB NN NN,gradle,ProjectDescriptor.java
2846,set message output level,VB NN NN NN,gradle,AntLoggingAdapter.java
2847,set output print stream,VB NN NN NN,gradle,AntLoggingAdapter.java
2848,set emacs mode,VB NN NN,gradle,AntLoggingAdapter.java
2849,set error print stream,VB NN NN NN,gradle,AntLoggingAdapter.java
2850,build started,VB VBD,gradle,AntLoggingAdapter.java
2851,target started,NN VBD,gradle,AntLoggingAdapter.java
2852,target finished,NN VBD,gradle,AntLoggingAdapter.java
2853,task started,NN VBD,gradle,AntLoggingAdapter.java
2854,task finished,NN VBD,gradle,AntLoggingAdapter.java
2855,message logged,NN VBD,gradle,AntLoggingAdapter.java
2856,generate p c h object directory,VB FW FW FW NN NN,gradle,PCHUtils.java
2857,generate p c h file,VB FW FW FW NN,gradle,PCHUtils.java
2858,generate p c h source file,VB FW FW FW NN NN,gradle,PCHUtils.java
2859,get header to source file transformer,VB NN TO NN NN NN,gradle,PCHUtils.java
2860,get source file extension,VB NN NN NN,gradle,PCHUtils.java
2861,is std out,VBZ JJ NN,gradle,ConsoleMetaData.java
2862,is std err,VBZ JJ NN,gradle,ConsoleMetaData.java
2863,get cols,VB NNS,gradle,ConsoleMetaData.java
2864,get build link class,VB NN NN NN,gradle,PlayRunAdapterV22X.java
2865,get build doc handler class,VB NN NN NN NN,gradle,PlayRunAdapterV22X.java
2866,get doc handler factory class,VB NN NN NN NN,gradle,PlayRunAdapterV22X.java
2867,get run support classpath dependencies,VB VB NN NN NNS,gradle,PlayRunAdapterV22X.java
2868,find class path,VB NN NN,gradle,DynamicModulesClassPathProvider.java
2869,get project directory,VB NN NN,gradle,DefaultProjectOutcomes.java
2870,get outcomes,VB NNS,gradle,DefaultProjectOutcomes.java
2871,is missing,VBZ JJ,gradle,CachedItem.java
2872,get cached file,VB VBN NN,gradle,CachedItem.java
2873,get cached at,VB VBN IN,gradle,CachedItem.java
2874,get coordinates,VB NNS,gradle,PublicationInternal.java
2875,get exported headers,VB JJ NNS,gradle,HeaderExportingSourceSet.java
2876,get implicit headers,VB JJ NNS,gradle,HeaderExportingSourceSet.java
2877,get mutable class loader,VB JJ NN NN,gradle,ScriptClassLoader.java
2878,get parent loader,VB NN NN,gradle,ScriptClassLoader.java
2879,get enum prop,VB NN NN,gradle,JavaClassWithInnerTypes.java
2880,get outer,VB NN,gradle,JavaClassWithInnerTypes.java
2881,get some prop,VB DT NN,gradle,JavaClassWithInnerTypes.java
2882,get inner class prop,VB JJ NN NN,gradle,JavaClassWithInnerTypes.java
2883,get manifest,VB NN,gradle,Jar.java
2884,set manifest,VB NN,gradle,Jar.java
2885,manifest,NN,gradle,Jar.java
2886,get meta inf,VB NN NN,gradle,Jar.java
2887,meta inf,NN NN,gradle,Jar.java
2888,property missing,NN JJ,gradle,DefaultAntBuilder.java
2889,do set property,VB VB NN,gradle,DefaultAntBuilder.java
2890,get references,VB NNS,gradle,DefaultAntBuilder.java
2891,import build,VB NN,gradle,DefaultAntBuilder.java
2892,get task dependency names,VB NN NN NNS,gradle,DefaultAntBuilder.java
2893,add dependency ordering,VB NN NN,gradle,DefaultAntBuilder.java
2894,get dependencies,VB NNS,gradle,DefaultAntBuilder.java
2895,get dependent classes,VB JJ NNS,gradle,DependentsSet.java
2896,is dependency to all,VBZ NN TO NN,gradle,DependentsSet.java
2897,create instance,VB NN,gradle,DefaultDirectoryWalkerFactory.java
2898,default encoding contains platform encoding,JJ VBG NNS NN VBG,gradle,DefaultDirectoryWalkerFactory.java
2899,unwrap,VB,gradle,TypeWrapper.java
2900,collect classes,VB NNS,gradle,TypeWrapper.java
2901,get representation,VB NN,gradle,TypeWrapper.java
2902,get dependency notation,VB NN NN,gradle,VersionedTwirlCompilerAdapter.java
2903,get compile method,VB VB NN,gradle,VersionedTwirlCompilerAdapter.java
2904,create compile parameters,VB VB NNS,gradle,VersionedTwirlCompilerAdapter.java
2905,get class loader packages,VB NN NN NNS,gradle,VersionedTwirlCompilerAdapter.java
2906,get attempted,VB VBN,gradle,DefaultResourceAwareResolveResult.java
2907,attempted,VBN,gradle,DefaultResourceAwareResolveResult.java
2908,apply to,VB TO,gradle,DefaultResourceAwareResolveResult.java
2909,get ide project dependencies,VB NN NN NNS,gradle,IdeDependencyResolver.java
2910,get unresolved ide repo file dependencies,VB JJ NN NN NN NNS,gradle,IdeDependencyResolver.java
2911,get ide repo file dependencies,VB JJ NN NN NNS,gradle,IdeDependencyResolver.java
2912,get ide local file dependencies,VB JJ JJ NN NNS,gradle,IdeDependencyResolver.java
2913,explain,VB,gradle,ToolSearchResult.java
2914,new thread,JJ NN,gradle,ThreadFactoryImpl.java
2915,create meta data,VB NNS NNS,gradle,MavenModuleCacheEntry.java
2916,get bucket name,VB NN NN,gradle,S3RegionalResource.java
2917,get s ets3 bucket key,VB FW FW NN NN,gradle,S3RegionalResource.java
2918,apply rules,VB NNS,gradle,LanguageBasePlugin.java
2919,language source set factory,NN NN NN NN,gradle,LanguageBasePlugin.java
2920,binaries,NNS,gradle,LanguageBasePlugin.java
2921,register base binary spec,VB NN JJ NN,gradle,LanguageBasePlugin.java
2922,register base language source set,VB NN NN NN NN,gradle,LanguageBasePlugin.java
2923,register source set node initializer,VB NN NN NN NN,gradle,LanguageBasePlugin.java
2924,sources,NNS,gradle,LanguageBasePlugin.java
2925,validate language source set registrations,VB NN NN NN NNS,gradle,LanguageBasePlugin.java
2926,copy binary tasks to task container,VB JJ NNS TO NN NN,gradle,LanguageBasePlugin.java
2927,attach binaries to assemble lifecycle,VB NNS TO JJ NN,gradle,LanguageBasePlugin.java
2928,change descriptor path,VB NN NN,gradle,ProjectDescriptorRegistry.java
2929,find scripts,VB NNS,gradle,CompositeInitScriptFinder.java
2930,start children,VB NNS,gradle,GraphRenderer.java
2931,complete children,VB NNS,gradle,GraphRenderer.java
2932,get outputs file,VB NNS NN,gradle,TestOutputStore.java
2933,get index file,VB NN NN,gradle,TestOutputStore.java
2934,write index,VB NN,gradle,TestOutputStore.java
2935,writer,NN,gradle,TestOutputStore.java
2936,has output,VBZ NN,gradle,TestOutputStore.java
2937,write all output,VB DT NN,gradle,TestOutputStore.java
2938,write non test output,VB RB NN NN,gradle,TestOutputStore.java
2939,write test output,VB NN NN,gradle,TestOutputStore.java
2940,do read,VB NN,gradle,TestOutputStore.java
2941,reader,NN,gradle,TestOutputStore.java
2942,get input file,VB NN NN,gradle,TransformerTask.java
2943,set input file,VB NN NN,gradle,TransformerTask.java
2944,get output file,VB NN NN,gradle,TransformerTask.java
2945,set output file,VB NN NN,gradle,TransformerTask.java
2946,get format,VB NN,gradle,TransformerTask.java
2947,set format,VB NN,gradle,TransformerTask.java
2948,of,IN,gradle,JvmPackageName.java
2949,is valid package name,VBZ JJ NN NN,gradle,JvmPackageName.java
2950,create publisher,VB NN,gradle,PublicationAwareRepository.java
2951,collect arguments,VB NNS,gradle,CommandLineJavaCompilerArgumentsGenerator.java
2952,generate,VB,gradle,CommandLineJavaCompilerArgumentsGenerator.java
2953,exceeds windows command line length limit,VBZ NNS NN NN NN NN,gradle,CommandLineJavaCompilerArgumentsGenerator.java
2954,shorten args,VBN NNS,gradle,CommandLineJavaCompilerArgumentsGenerator.java
2955,set objects,VB NNS,gradle,CompositeDynamicObject.java
2956,set objects for update,VB NNS IN NN,gradle,CompositeDynamicObject.java
2957,is may implement missing methods,VBZ MD VB JJ NNS,gradle,CompositeDynamicObject.java
2958,is may implement missing properties,VBZ MD VB JJ NNS,gradle,CompositeDynamicObject.java
2959,has property,VBZ NN,gradle,CompositeDynamicObject.java
2960,has method,VBZ NN,gradle,CompositeDynamicObject.java
2961,invoke method,VB NN,gradle,CompositeDynamicObject.java
2962,create class visitor,VB NN NN,gradle,TestNGDetector.java
2963,setup u i,NN NN NN,gradle,SwingEditFavoriteInteraction.java
2964,key pressed,NN VBN,gradle,SwingEditFavoriteInteraction.java
2965,synchronize display name with command,VB NN NN IN NN,gradle,SwingEditFavoriteInteraction.java
2966,set display name text to command line text,VB NN NN NN TO NN NN NN,gradle,SwingEditFavoriteInteraction.java
2967,edit favorite,VB NN,gradle,SwingEditFavoriteInteraction.java
2968,report error,VB NN,gradle,SwingEditFavoriteInteraction.java
2969,configure hierarchy,VB NN,gradle,TaskPathProjectEvaluator.java
2970,get archive file,VB NN NN,gradle,GeneratedArchiveBuildOutcome.java
2971,get root relative path,VB NN JJ NN,gradle,GeneratedArchiveBuildOutcome.java
2972,get std out print stream,VB JJ NN NN NN,gradle,RedirectStdOutAndErr.java
2973,get std err print stream,VB JJ NN NN NN,gradle,RedirectStdOutAndErr.java
2974,get std err,VB JJ NN,gradle,RedirectStdOutAndErr.java
2975,get std out,VB JJ NN,gradle,RedirectStdOutAndErr.java
2976,to execution result,TO NN NN,gradle,ParallelForkingGradleHandle.java
2977,to execution failure,TO NN NN,gradle,ParallelForkingGradleHandle.java
2978,assert tasks executed,VB NNS VBN,gradle,ParallelForkingGradleHandle.java
2979,assert output equals,VB NN VBZ,gradle,ParallelForkingGradleHandle.java
2980,get compile classpath,VB VB NN,gradle,ScalaLanguageSourceSet.java
2981,get variants,VB NNS,gradle,DependentSourceSetResolveContext.java
2982,get resolution strategy,VB NN NN,gradle,DependentSourceSetResolveContext.java
2983,to root component meta data,TO NN NN NN NNS,gradle,DependentSourceSetResolveContext.java
2984,is cancellation requested,VBZ NN JJ,gradle,InternalCancellationToken.java
2985,add callback,VB NN,gradle,InternalCancellationToken.java
2986,remove callback,VB NN,gradle,InternalCancellationToken.java
2987,started,VBD,gradle,TestResultProcessor.java
2988,completed,VBD,gradle,TestResultProcessor.java
2989,output,NN,gradle,TestResultProcessor.java
2990,failure,NN,gradle,TestResultProcessor.java
2991,configure endpoint,VB NN,gradle,S3ConnectionProperties.java
2992,get endpoint,VB NN,gradle,S3ConnectionProperties.java
2993,configure error retry count,VB NN NN NN,gradle,S3ConnectionProperties.java
2994,get max error retry count,VB JJ NN NN NN,gradle,S3ConnectionProperties.java
2995,remove producer,VB NN,gradle,ReceiveProtocol.java
2996,worker stopped,NN VBD,gradle,ReceiveProtocol.java
2997,all producers finished,DT NNS JJ,gradle,ReceiveProtocol.java
2998,get delivery,VB NN,gradle,RejectedMessage.java
2999,get channel,VB NN,gradle,RejectedMessage.java
3000,get payload,VB NN,gradle,RejectedMessage.java
3001,create cache factory,VB NN NN,gradle,TestGlobalScopeServices.java
3002,get project path,VB NN NN,gradle,LibraryComponentSelector.java
3003,get library name,VB NN NN,gradle,LibraryComponentSelector.java
3004,get parent id,VB NN NN,gradle,BuildOperationInternal.java
3005,put and close,VB CC VB,gradle,SingleOperationPersistentStore.java
3006,get and close,VB CC VB,gradle,SingleOperationPersistentStore.java
3007,init caches,VB NNS,gradle,SingleOperationPersistentStore.java
3008,close caches,VB NNS,gradle,SingleOperationPersistentStore.java
3009,creates a task inputs instance,VBZ DT NN NNS NN,gradle,TaskScopeServicesTest.java
3010,creates a task outputs internal instance,VBZ DT NN NNS JJ NN,gradle,TaskScopeServicesTest.java
3011,creates a task status nagger instance,VBZ DT NN NN NN NN,gradle,TaskScopeServicesTest.java
3012,creates a logging manager and std output capture,VBZ DT NN NN CC JJ NN NN,gradle,TaskScopeServicesTest.java
3013,is resolvable,VBZ JJ,gradle,SimpleDependency.java
3014,get class directories,VB NN NNS,gradle,JvmAssembly.java
3015,get resource directories,VB NN NNS,gradle,JvmAssembly.java
3016,get tool chain,VB NN NN,gradle,JvmAssembly.java
3017,get target platform,VB NN NN,gradle,JvmAssembly.java
3018,get simple name,VB JJ NN,gradle,ClassMetaData.java
3019,get package name,VB NN NN,gradle,ClassMetaData.java
3020,is interface,VBZ NN,gradle,ClassMetaData.java
3021,is groovy,VBZ JJ,gradle,ClassMetaData.java
3022,is enum,VBZ NN,gradle,ClassMetaData.java
3023,get super class name,VB JJ NN NN,gradle,ClassMetaData.java
3024,set super class name,VB JJ NN NN,gradle,ClassMetaData.java
3025,get super class,VB JJ NN,gradle,ClassMetaData.java
3026,get interface names,VB NN NNS,gradle,ClassMetaData.java
3027,add interface name,VB NN NN,gradle,ClassMetaData.java
3028,get interfaces,VB NNS,gradle,ClassMetaData.java
3029,get inner class names,VB JJ NN NNS,gradle,ClassMetaData.java
3030,add inner class name,VB JJ NN NN,gradle,ClassMetaData.java
3031,get outer class name,VB JJ NN NN,gradle,ClassMetaData.java
3032,set outer class name,VBN JJ NN NN,gradle,ClassMetaData.java
3033,add import,VB NN,gradle,ClassMetaData.java
3034,add readable property,VB JJ NN,gradle,ClassMetaData.java
3035,add writeable property,VB JJ NN,gradle,ClassMetaData.java
3036,find declared property,VB JJ NN,gradle,ClassMetaData.java
3037,get declared property names,VB JJ NN NNS,gradle,ClassMetaData.java
3038,get declared properties,VB JJ NNS,gradle,ClassMetaData.java
3039,get declared methods,VB JJ NNS,gradle,ClassMetaData.java
3040,get declared method names,VB JJ NN NNS,gradle,ClassMetaData.java
3041,find declared method,VB JJ NN,gradle,ClassMetaData.java
3042,find declared methods,VB JJ NNS,gradle,ClassMetaData.java
3043,get constants,VB NNS,gradle,ClassMetaData.java
3044,add enum constant,VB NN NN,gradle,ClassMetaData.java
3045,get enum constants,VB NN NNS,gradle,ClassMetaData.java
3046,get enum constant,VB NN NN,gradle,ClassMetaData.java
3047,attach,VB,gradle,ClassMetaData.java
3048,resolve types,VB NNS,gradle,ClassMetaData.java
3049,visit types,VB NNS,gradle,ClassMetaData.java
3050,get candidate,VB NN,gradle,ComponentSelection.java
3051,register twirl language type,VB NN NN NN,gradle,PlayTwirlPlugin.java
3052,create generated scala source sets,VB VBN NNP NN NNS,gradle,PlayTwirlPlugin.java
3053,register language transform,VB NN NN,gradle,PlayTwirlPlugin.java
3054,get source set type,VB NN NN NN,gradle,PlayTwirlPlugin.java
3055,get output type,VB NN NN,gradle,PlayTwirlPlugin.java
3056,get binary tools,VB JJ NNS,gradle,PlayTwirlPlugin.java
3057,get transform task,VB NN NN,gradle,PlayTwirlPlugin.java
3058,get task prefix,VB NN NN,gradle,PlayTwirlPlugin.java
3059,apply to binary,VB TO NN,gradle,PlayTwirlPlugin.java
3060,execution started,NN VBD,gradle,ExecHandleListener.java
3061,execution finished,NN VBD,gradle,ExecHandleListener.java
3062,matches requested,NNS VBN,gradle,DependencyResultSpec.java
3063,matches selected,NNS VBN,gradle,DependencyResultSpec.java
