,OUT,SWUM,POSSE,STANFORD
1144,NM N,NM N,N N,N N
1145,NM NM NPL,NM NM N,N N V,N N NPL
1146,NM NM NM NPL N,NM NM NM NM N,N NM N N N,N N N NPL N
1147,NM NM N,NM NM N,NM N N,N N N
1148,NM NM NM N,NM NM NM N,N NM N N,NM NM N N
1149,NM NM N,NM NM N,NM N N,N N N
1150,NM NM N,NM NM N,N N N,N N N
1151,DT DT DT N,NM NM NM N,NM N N N,FAILURE FAILURE FAILURE FAILURE
1152,NM NM N,NM NM N,N N N,N N N
1153,NM NM NM N,NM NM NM N,N N N N,N N N N
1154,NPL N,NM N,N N,NPL VBP
1155,N,N,N,N
1156,NM N,NM N,N N,N N
1157,N N,NM N,FAILURE FAILURE,N N
1158,NM N,NM N,N N,N N
1159,NM NM N,NM NM N,N N N,N N N
1160,NM N,NM N,N N,N N
1161,NM NM NM N,NM NM NM N,N N N N,N N N N
1162,N,N,N,N
1163,NM D NM D,NM NM NM N,NM NM NM N,N D N D
1164,NM D,NM N,NM N,N D
1165,NM D,NM N,NM N,N D
1166,NM N,NM N,NM N,NM N
1167,NM NM N,NM NM N,NM N N,N N N
1168,V P N,NM NM N,V P N,V P N
1169,V P NM CJ N,NM NM NM NM N,V P N N N,V P N CJ N
1170,NM NM N,NM NM N,NM N N,N N N
1171,N P NM N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N P N N
1172,N NM NM NM N,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N N N
1173,NM NM N,NM NM N,N N N,V N N
1174,N DT VM DT N,NM NM NM NM N,V N P N N,FAILURE FAILURE FAILURE FAILURE FAILURE
1175,N DT VM DT N,NM NM NM NM N,V N P N N,FAILURE FAILURE FAILURE FAILURE FAILURE
1176,NM NM NM N,NM NM NM N,N NM N N,N N N N
1177,NM NM N,NM NM N,N N N,N N N
1178,NM NM N,NM NM N,N N N,V N N
1179,NM NM N,NM NM N,N N N,N N N
1180,NM NM N,NM NM N,N N N,N N N
1181,NM NM N,NM NM N,N N N,V N N
1182,DT DT DT N,NM NM NM N,N NM N N,FAILURE FAILURE FAILURE FAILURE
1183,NM NM P NM NM N,NM NM NM DT NM N,N N N NM N N,N N P N N N
1184,NM NM P NM N,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,V N P N N
1185,NM NM N,NM NM N,N N N,N N N
1186,N DT VM DT N,NM NM NM NM N,V N P N N,FAILURE FAILURE FAILURE FAILURE FAILURE
1187,NM N,NM N,N N,N N
1188,NM NM N,NM NM N,N N N,N N N
1189,NM N,NM N,N N,N N
1190,NM N,NM N,N N,N N
1191,NM VM NM N,NM DT NM N,FAILURE FAILURE FAILURE FAILURE,V VM N N
1192,N,N,N,N
1193,NM N,NM N,NM N,VBN N
1194,NM N,NM N,NM N,N N
1195,NM N,NM N,NM N,VBN V
1196,NM NM N,NM NM N,N N N,N N N
1197,N,N,N,N
1198,N,N,N,N
1199,N NM N NM N,NM NM DT NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N NM N
1200,NM NM N,NM NM N,N N N,N N N
1201,NM NM N,NM NM N,N NM N,N N N
1202,NM NM NM N,NM NM NM N,N N NM N,N N N N
1203,NM NM N,NM NM N,N N N,N N N
1204,NM NM NM N,NM NM NM N,N N N N,N N N N
1205,NM NM N,NM NM N,N N N,N N N
1206,NM N,NM N,N N,N N
1207,UNK,UNK,UNK,UNK
1208,NM N,NM N,N N,VBN N
1209,NM N,NM N,N N,VBG N
1210,NM NM N,NM NM N,N N N,N N N
1211,NM N,NM N,NM N,N N
1212,NM NM N,NM NM N,N N N,N N N
1213,NM NM N,NM NM N,N N N,N N N
1214,NM N,NM N,NM N,NM N
1215,NM NM NM N,NM NM NM N,N NM N N,N N N VBG
1216,NM NM N,NM NM N,N N N,N N N
1217,NM NM N,NM NM N,N N N,N N N
1218,N P N,NM NM DT,V P N,N P N
1219,NM NPL N,NM NM N,N N N,N NPL VBP
1220,NM NM N,NM NM N,NM N N,N N N
1221,NM NM NM NPL,FAILURE FAILURE FAILURE FAILURE,NM N NM N,N N N NPL
1222,DT DT N,NM NM N,N N N,FAILURE FAILURE FAILURE
1223,NM P NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,V P NM NM N,VBN P NM N N
1224,N NM P NM N,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N P N N
1225,NM N,NM N,N N,N N
1226,NM N,NM N,N N,N N
1227,NM N,NM N,NM N,NM N
1228,VM DT N,NM NM N,P NM N,FAILURE FAILURE FAILURE
1229,N,N,N,N
1230,NM NPL,NM N,N N,N NPL
1231,N,N,N,N
1232,NM D,NM N,N N,N D
1233,N,N,N,N
1234,N,N,N,FAILURE
1235,N,N,N,N
1236,N,N,N,FAILURE
1237,NM N,NM N,N N,N N
1238,N,N,N,N
1239,NM N,NM N,N N,N N
1240,NM N,NM N,NM N,N N
1241,NM N,NM N,N N,N N
1242,N P NM NPL,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N P NM NPL
1243,N P NM NPL,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N P NM NPL
1244,N P NM N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N P N N
1245,NM N,NM N,N N,N N
1246,N,N,N,NM
1247,NPL,N,N,NPL
1248,N,N,N,V
1249,DT,DT,N,DT
1250,DT,DT,N,DT
1251,DT N,NM N,FAILURE FAILURE,DT N
1252,N,N,N,N
1253,N,N,V,N
1254,DT N,NM N,FAILURE FAILURE,DT N
1255,NPL,N,N,NPL
1256,NM N,NM N,N N,N N
1257,N,N,N,N
1258,NM N,NM N,N N,N N
1259,N,N,N,N
1260,NM D,NM N,N N,N D
1261,NM N,NM N,N N,N N
1262,NM N,NM N,N N,N N
1263,NM N,NM N,N N,N N
1264,NM N,NM N,N N,N N
1265,N,N,N,N
1266,N,N,N,N
1267,NM N,NM N,N N,N N
1268,N P,NM N,V P,N P
1269,N,N,N,N
1270,N,N,N,N
1271,N,N,V,N
1272,N,N,N,N
1273,N,N,N,N
1274,N,N,N,V
1275,N,N,N,N
1276,N,N,N,N
1277,NM N,NM N,N N,V N
1278,N,N,N,N
1279,N,N,N,N
1280,N,N,N,N
1281,N,N,N,N
1282,N,N,N,N
1283,N,N,N,N
1284,N,N,V,V
1285,N,N,N,V
1286,N,N,N,N
1287,N,N,N,NM
1288,N,N,N,N
1289,N,N,N,N
1290,V NPL,NM N,V N,V NPL
1291,NM D,NM N,N N,N D
1292,N,N,N,V
1293,N,N,N,N
1294,N,N,N,NM
1295,NM P,NM N,V P,NM P
1296,NM N,NM N,N N,V N
1297,NM,N,NM,N
1298,NM N,NM N,NM N,N N
1299,NM N,NM N,N N,N VBP
1300,N,N,N,FAILURE
1301,NM N,NM N,NM N,P VBP
1302,DT N,NM N,N N,FAILURE FAILURE
1303,N NM,NM N,V NM,FAILURE FAILURE
1304,DT N,NM N,N N,FAILURE FAILURE
1305,DT N,NM N,N N,FAILURE FAILURE
1306,NM,DT,NM,VM
1307,NM N,DT N,NM N,VM N
1308,N,N,N,N
1309,N,N,N,V
1310,NM,FAILURE,N,N
1311,NM D N,NM NM N,N NM N,V D N
1312,NM,FAILURE,N,N
1313,NM NM N,NM NM N,N N N,V V N
1314,NM N,NM N,NM N,NM CJ
1315,NM VM,NM DT,FAILURE FAILURE,NM VM
1316,NM N,NM N,NM N,NM CJ
1317,NM N,NM N,N N,V N
1318,NM N,NM N,NM N,N N
1319,N,N,N,N
1320,N,N,N,N
1321,N,N,N,NM
1322,NM N,NM N,N N,V N
1323,N,N,N,N
1324,N,N,N,N
1325,N,N,N,N
1326,NM N,NM N,N N,V N
1327,N P N,NM NM N,FAILURE FAILURE FAILURE,N P N
1328,NM NM,FAILURE FAILURE,N NM,N N
1329,N,N,N,N
1330,VM N,DT N,FAILURE FAILURE,VM N
1331,NPL P,NM N,FAILURE FAILURE,NPL P
1332,NM P,NM N,V P,NPL P
1333,NM,N,NM,N
1334,N,N,N,N
1335,N,N,N,V
1336,N,N,N,N
1337,N,N,N,N
1338,N,N,N,NM
1339,N,N,N,NM
1340,N,N,N,N
1341,N,N,V,V
1342,N,N,N,N
1343,N,N,N,N
1344,N,N,N,N
1345,N,N,N,N
1346,N,N,N,N
1347,N,N,N,N
1348,N,N,N,N
1349,N,N,N,N
1350,N,N,N,V
1351,N,N,N,N
1352,NPL,N,N,NPL
1353,N,N,N,V
1354,NM P N,NM NM N,FAILURE FAILURE FAILURE,V P N
1355,N,N,N,N
1356,N,N,N,N
1357,NM N,NM N,N N,N N
1358,N,N,N,N
1359,N,N,N,N
1360,N,N,N,N
1361,N,N,N,N
1362,N,N,N,N
1363,NM N,FAILURE FAILURE,NM N,N N
1364,NM N,FAILURE FAILURE,NM N,N VBP
1365,N,N,N,VM
1366,N,N,V,V
1367,N,N,V,VM
1368,N,N,N,V
1369,NM DT N,NM DT N,N NM N,V DT N
1370,NM N,NM N,NM N,NM V
1371,N,N,N,N
1372,N,N,N,NM
1373,N,N,N,N
1374,N,N,N,N
1375,N,N,N,V
1376,N,N,N,V
1377,N,N,N,N
1378,N,N,N,N
1379,N,N,N,N
1380,NPL,N,N,NPL
1381,NPL,N,N,NPL
1382,N,N,N,N
1383,NM N,NM N,N N,N V
1384,NM N,NM N,NM N,NM N
1385,N,N,N,V
1386,N,N,N,N
1387,NM NM NM NM N,NM NM NM NM N,N N NM N N,N N N VBG N
1388,NM N,NM N,N N,N N
1389,NM V NM NM N,NM NM NM NM N,N N NM N N,N VBZ NM VBG N
1390,NM NM NM N,NM NM NM N,N N N N,N N N N
1391,NM NM N,NM NM N,N N N,N N N
1392,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N NM N N,N N N N N
1393,NM NM NM NM N,NM NM NM NM N,N N NM N N,N N N VBG N
1394,NM NM NM NM N,NM NM NM NM N,N N NM N N,N N NM VBG N
1395,NM NM NM N,NM NM NM N,N N N N,N N N N
1396,NM NM N,NM NM N,N N N,N N N
1397,N,N,N,N
1398,NM N,NM N,N N,N N
1399,N,N,N,V
1400,NM N,NM N,N N,V N
1401,NM N,NM N,N N,P N
1402,NM N,NM N,N N,N N
1403,NM NM N,NM NM N,N N N,N N N
1404,N,N,N,N
1405,V,N,N,VBN
1406,N,N,N,N
1407,NM NPL,NM N,NM N,NM NPL
1408,NM NM NM NM N,NM NM NM NM N,N N NM N N,N N N VBG N
1409,NM V NM NM N,NM NM NM NM N,N N NM N N,N VBZ NM VBG N
1410,NM NM NM N,NM NM NM N,N N N N,N N N N
1411,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N NM N N,N N N N
1412,NM NPL NM N,NM NM NM N,N N N N,N NPL N N
1413,NM NM N,NM NM N,N N N,N N N
1414,NM NM N,NM NM N,N N N,N N N
1415,NM NM N,NM NM N,NM NM N,N N N
1416,VM DT DT N,NM NM NM N,P NM NM N,FAILURE FAILURE FAILURE FAILURE
1417,NM N,NM N,N N,N N
1418,NM N,NM N,N N,N N
1419,NM D N,NM NM N,N NM N,N D N
1420,NM N,NM N,N N,N N
1421,DT N,NM N,N N,FAILURE FAILURE
1422,NM NM N,NM NM N,N N N,N N N
1423,NM D NM NM NM NM N,NM NM NM NM NM NM N,N NM N N NM N N,N D N N N VBG N
1424,NM D NM NM NM NM N,NM NM NM NM NM NM N,N NM N N NM N N,N D N N NM VBG N
1425,NM D NM NM NM NM N,NM NM NM NM NM NM N,N NM N N NM N N,N D N N N VBG N
1426,NM NM NM NM NM NM N,NM NM NM NM NM NM N,N NM N N NM N N,NM N N N NM VBG N
1427,NM D NM NM NM N,NM NM NM NM NM N,N NM N N N N,N D N N N N
1428,NM D NM NM NM N,NM NM NM NM NM N,N NM N N N N,N D N N N N
1429,NM NM NM NM NM N,NM NM NM NM NM N,N N N N N N,N N V N N N
1430,NM N,NM N,NM N,N N
1431,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N NM N N,N N N N
1432,N,N,N,N
1433,NM D,NM N,N N,N D
1434,NM,N,NM,N
1435,NM N,NM N,NM N,NM N
1436,NM N,NM N,NM N,NM N
1437,N,N,N,N
1438,NM NM,NM N,N NM,V N
1439,NM N,NM N,NM N,NM N
1440,NM N,NM N,FAILURE FAILURE,NM N
1441,NM N,NM N,NM N,NM N
1442,N,N,N,N
1443,N,N,N,N
1444,N,N,N,N
1445,N,N,N,N
1446,NM N,NM N,N N,V N
1447,NM N,NM N,N N,N N
1448,NM N,NM N,NM N,N N
1449,N,N,N,N
1450,NM N,NM N,N N,N N
1451,NM N,NM N,NM N,NM N
1452,NM N,NM N,N N,N N
1453,NM NM,NM N,N NM,D NM
1454,NM NM,NM N,N NM,N N
1455,NPL,N,N,NPL
1456,NM N,NM N,N N,N N
1457,NM N,NM N,N N,N N
1458,N,N,V,V
1459,N,N,V,V
1460,NM N,NM N,N V,N N
1461,NM NPL,NM N,N N,N NPL
1462,NM NPL,NM N,N N,N VBZ
1463,NM NPL,NM N,N N,N NPL
1464,NM NPL,NM N,N N,N NPL
1465,N,N,N,N
1466,N,N,N,N
1467,N,N,N,N
1468,N,N,N,FAILURE
1469,NM N,NM N,N N,N N
1470,N,N,N,N
1471,N,N,N,N
1472,N,N,V,V
1473,V NM,NM N,V NM,V NM
1474,N,N,N,N
1475,N,N,N,N
1476,N,N,N,N
1477,NM N,NM N,N N,NM N
1478,NM V NM NM N,NM NM NM NM N,N N NM N N,N VBZ NM VBG N
1479,NM NM NM N,NM NM NM N,N N N N,N N N N
1480,NM N,NM N,N N,N N
1481,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N NM N N,N N N N N
1482,NM NM NPL NPL,NM NM NM N,N N N N,N N NPL NPL
1483,DT DT DT DT N,NM NM NM NM N,N N NM N N,FAILURE FAILURE FAILURE FAILURE FAILURE
1484,DT DT DT DT N,NM NM NM NM N,N N NM N N,FAILURE FAILURE FAILURE FAILURE FAILURE
1485,DT DT DT N,NM NM NM N,N N N N,FAILURE FAILURE FAILURE FAILURE
1486,NM N,NM N,N N,N N
1487,NM NPL N,NM NM N,NM N N,NM NPL VBP
1488,NM NM,NM N,NM N,NM NM
1489,NM NM,NM N,NM N,VBN NM
1490,NM N,NM N,NM N,NM N
1491,NM N,NM N,N N,N N
1492,NM N,NM N,N N,N N
1493,NM NM,NM N,N N,NM NM
1494,NM NM,NM N,N N,NM NM
1495,NM N,NM N,N N,N N
1496,P NM,PR N,P N,P NM
1497,P N,PR N,P N,P N
1498,NM N,NM N,NM N,N N
1499,NM NM N,NM NM N,NM N N,NM N N
1500,DT N,NM N,N N,FAILURE FAILURE
1501,N,N,N,FAILURE
1502,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,NM N N N,N N N N
1503,N NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N NM N N N,V N N N N
1504,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,NM NM N N N,VBN N N N N
1505,NM NM NM NM NPL N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,NM N N NM N N,N N N N NPL N
1506,N NM NM NM NM NPL N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,N NM N N N N N,V N N N N NPL VBP
1507,NM NM NM NM NM NPL N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,NM NM N N N N N,VBN N N N N NPL VBP
1508,NM NM NM NM NM NM NPL N,FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE FAILURE,NM N N NM N N N N,N N N N N N NPL VBP
1509,NM NM N,FAILURE FAILURE FAILURE,NM N N,N N N
1510,N NM NM N,FAILURE FAILURE FAILURE FAILURE,N NM N N,V N N N
1511,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,NM NM N N,VBN N N N
1512,NM N,NM N,N N,N N
1513,NM NM NM N,NM NM NM N,N N N N,V N N N
1514,NM NM NPL,NM NM N,N N N,N N NPL
1515,NM NM N,NM NM N,N N N,VBN N N
1516,NM NM N,NM NM N,NM NM N,N N N
1517,DT DT N,NM NM N,N NM N,FAILURE FAILURE FAILURE
1518,DT N,NM N,N N,FAILURE FAILURE
1519,NM NM N,NM NM N,NM N N,N N N
1520,NM NM N,NM NM N,NM N N,N N N
1521,NM NM NM N,NM NM NM N,NM NM N N,D N N N
1522,NM NM NM NM N,NM NM NM NM N,NM NM NM N N,D NM N N N
1523,NM N,NM N,N N,N N
1524,NM N,NM N,N N,N N
1525,NM NM N,NM NM N,N N N,N N N
1526,NM N,NM N,N N,N N
1527,NM N,NM N,NM N,N N
1528,NM NM N,NM NM N,N NM N,N N N
1529,NM D N,NM NM N,N NM N,N D N
1530,NM NM N,NM NM N,NM N N,N N N
1531,NM NM N,NM NM N,NM N N,N N N
1532,NM NM N,NM NM N,NM N N,N N N
1533,NM NM N,NM NM N,NM NM N,NM NM N
1534,NM N,NM N,N N,N N
1535,NM N,NM N,N N,V N
1536,N P NM N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N P N N
1537,N P NM N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N P N N
1538,N P NM N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N P V N
1539,V P NM N,NM NM NM N,V P N N,V P N N
1540,NM N,NM N,N N,N N
1541,NM NM N,NM NM N,N N N,NM N N
1542,N,N,N,N
1543,NM NM NM NM N,NM NM NM NM N,N NM NM N N,N N VBD N N
1544,NM NM NM N,NM NM NM N,N N N N,V N N N
1545,NM D NM N,NM NM NM N,N NM N N,N D N N
1546,NM N,NM N,N N,N N
1547,NM NM N,NM NM N,NM N N,NM N N
1548,NM NM N,NM NM N,NM N N,N N N
1549,NM NM NM N,NM NM NM N,NM NM N N,N N N N
1550,NM NM NM NM N,NM NM NM NM N,NM NM NM N N,N N N N N
1551,NM NM NM NM NM N,NM NM NM NM NM N,NM NM NM NM N N,N N N N N N
1552,NM NM NM N,NM NM NM N,N NM N N,N N N N
1553,NM D NM N,NM NM NM N,N NM N N,N D N N
1554,DT DT N,NM NM N,N NM N,FAILURE FAILURE FAILURE
1555,NM NM NM N,NM NM NM N,NM N NM N,N N N N
1556,NM NM NM N,NM NM NM N,NM N NM N,N N N N
1557,NM NM NM NM N,NM NM NM NM N,NM NM N NM N,D N N N N
1558,NM NM NM NM NM N,NM NM NM NM NM N,NM NM NM N NM N,D NM N N N N
1559,N,N,N,N
1560,NM N,NM N,NM N,NM N
1561,NM N,NM N,NM N,NM N
1562,NM NM N,NM NM N,NM NM N,NM NM N
1563,NM NM NM N,NM NM NM N,NM NM NM N,N N N N
1564,NM NM NM NM N,NM NM NM NM N,NM NM NM NM N,N N N N N
1565,NM NM NM N,NM NM NM N,N NM NM N,N N VBD N
1566,NM NM N,NM NM N,N N N,V N N
1567,NM D N,NM NM N,N NM N,N D N
1568,NM NM NM N,NM NM NM N,N N N N,N N N N
1569,NM NPL,NM N,NM N,NM NPL
1570,NM NPL,NM N,NM N,NM NPL
1571,NM NPL,NM N,NM N,NM NPL
1572,NM NPL,NM N,NM N,NM NPL
1573,N,N,N,N
1574,N,N,N,V
1575,NM NM N,NM NM N,N N N,N N N
1576,N P N,NM NM N,FAILURE FAILURE FAILURE,N P N
1577,N P N,NM NM N,FAILURE FAILURE FAILURE,N P N
1578,N P V,NM NM N,FAILURE FAILURE FAILURE,N P V
1579,V P N,NM NM N,V P N,V P N
1580,N,N,N,N
1581,NM N,NM N,N N,N N
1582,NM N,NM N,NM N,N N
1583,NM NM N,NM NM N,NM N N,N N N
1584,N,N,N,N
1585,NM N,NM N,N N,N N
1586,NM NM NPL N,NM NM NM N,N N N N,N N NPL VBP
1587,NM NM N,NM NM N,N N N,N N N
1588,V NM P N,NM NM NM N,V N P N,V N P N
1589,V NM P NM N,NM NM NM NM N,V N P N N,V N P N N
1590,NM NM NM N,NM NM NM N,N N N N,N N N N
1591,NM NM N,NM NM N,N N N,N N N
1592,NM N,NM N,NM N,N N
1593,NM N,NM N,NM N,N N
1594,NM NM NM NM D,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N NM N,N N N N D
1595,N P N,NM NM N,V P N,N P N
1596,NM P NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,V P N N N,V P N N N
1597,NM N,NM N,N N,N N
1598,N,N,N,N
1599,NM N,NM N,N N,N N
1600,NM NM NPL,NM NM N,N N N,N N NPL
1601,NM N,NM N,N N,N N
1602,NM N,NM N,NM N,N N
1603,NM P NM N,FAILURE FAILURE FAILURE FAILURE,V P N N,V P N N
1604,NM NM N,NM NM N,N N N,N N N
1605,N,N,N,N
1606,NM N,NM N,N N,N N
1607,NM N,NM N,NM N,N N
1608,NM NM N,NM NM N,N N N,N N N
1609,NM N,NM N,NM N,VM VBG
1610,NM N,NM N,NM N,N N
1611,DT N,NM N,N N,FAILURE FAILURE
1612,NM N,NM N,NM N,N N
1613,NM CJ NM NM N,NM NM NM NM N,N N N N N,N CJ N N N
1614,NM NM N,NM NM N,NM N N,N N N
1615,NM NM N,NM NM N,NM N N,N N N
1616,NM N,NM N,NM N,N N
1617,NM CJ V,NM NM N,N N V,V CJ V
1618,NM NM N,NM NM N,NM N N,N N N
1619,NM NM NM NPL,NM NM NM N,N N NM N,N N N NPL
1620,NM N,NM N,NM N,NM N
1621,NM N,NM N,N N,N N
1622,NPL N,NM N,N N,NPL VBP
1623,NM N,NM N,N N,N N
1624,N,N,N,N
1625,NM NM N,NM NM N,N N N,N N N
1626,N,N,N,N
1627,NM N,NM N,N N,N N
1628,NM N,NM N,N N,N N
1629,DT N,NM N,N N,FAILURE FAILURE
1630,NM N,NM N,N N,N N
1631,NM N,NM N,N N,N N
1632,DT N,DT N,NM N,DT N
1633,NM N,NM N,N N,N N
1634,NM NM N,NM NM N,N N N,N N N
1635,N P N,NM NM N,V P N,N P N
1636,NM NM P N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,NM N P N
1637,N P NM N,NM NM NM N,V P N N,N P NM N
1638,N NM NM NM N,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N N N
1639,NM N,NM N,N N,N N
1640,NM N,NM N,N N,N N
1641,NM N,NM N,N N,N N
1642,NM NM N,NM NM N,NM N N,VBN N N
1643,NM NM NM,NM NM N,N N NM,VBG N N
1644,DT DT N,NM NM N,NM N N,FAILURE FAILURE FAILURE
1645,DT DT N,NM NM N,NM N N,FAILURE FAILURE FAILURE
1646,DT DT N,NM NM N,NM N N,FAILURE FAILURE FAILURE
1647,NM NM N,NM NM N,NM N N,NM N N
1648,NM NM N,NM NM N,NM NM N,NM NM N
1649,NM NM NM N,NM NM NM N,N N NM N,N N N N
1650,NM NM NM N,NM NM NM N,NM N NM N,N N N N
1651,NM NM NM NM N,NM NM NM NM N,NM N N NM N,N N N N N
1652,NM NM NPL N,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,NM NM NPL N
1653,N NM NM NM N,NM NM NM NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N N N N
1654,DT NM N,DT NM N,NM N N,DT VBG N
1655,N NM N,NM NM N,FAILURE FAILURE FAILURE,N N N
1656,NM NPL,NM N,NM N,VBG NPL
1657,NM NPL,NM N,N N,N NPL
1658,NM N,NM N,NM N,NM N
1659,DT NM V,DT NM N,NM N NM,DT N VBN
1660,NM N,NM N,NM N,NM N
1661,NM N,NM N,N N,N N
1662,V,N,N,VBG
1663,NM NM N,NM NM N,N N N,N N N
1664,DT N,NM N,N N,FAILURE FAILURE
1665,NM N,NM N,NM N,N N
1666,DT DT DT N,NM NM NM N,N N N N,FAILURE FAILURE FAILURE FAILURE
1667,N,N,N,N
1668,NM NM N,NM NM N,NM N N,N N N
1669,NM N,NM N,NM N,N N
1670,NM N,NM N,N N,N N
1671,NM N,NM N,N N,N N
1672,NM NM N,NM NM N,N N N,N N N
1673,NM N,NM N,NM N,N N
1674,NM NM N,NM NM N,N NM N,N N N
1675,NM NM N,NM NM N,NM NM N,N N N
1676,N,N,N,N
1677,NM N,NM N,N N,N N
1678,NM NM N,NM NM N,NM N N,NM N N
1679,V,N,N,VBG
1680,DT DT N,NM NM N,N N N,FAILURE FAILURE FAILURE
1681,NM N,NM N,NM N,N N
1682,NM N,NM N,NM N,N N
1683,NM NM N,NM NM N,N N N,V N N
1684,NM N,NM N,NM N,NM N
1685,NM NM N,NM NM N,NM N N,N N N
1686,NM N,NM N,N N,N N
1687,NM N,NM N,NM N,NM N
1688,NM N,NM N,N N,N N
1689,NM NM N,NM NM N,N N N,N N N
1690,V,N,N,VBG
1691,NM N,NM N,N N,N N
1692,NM N,NM N,N N,N N
1693,NM NM N,NM NM N,NM N N,N N N
1694,NM NM N,NM NM N,NM N N,N N N
1695,N,N,N,N
1696,DT N,NM N,N N,FAILURE FAILURE
1697,NM NM N,NM NM N,N N N,N N N
1698,NM NM N,NM NM N,N N N,N N N
1699,NM NM N,NM NM N,NM N N,N N N
1700,NM N,NM N,NM N,N N
1701,NM NM N,NM NM N,N N N,N N N
1702,NM N,NM N,N N,N N
1703,NM N,NM N,N N,V N
1704,NM NM N,NM NM N,NM N N,NM N N
1705,NM N,NM N,N N,N N
1706,NM NM P N,FAILURE FAILURE FAILURE FAILURE,N N NM N,N N D N
1707,NM NM N,FAILURE FAILURE FAILURE,N N N,N N N
1708,NM V N,FAILURE FAILURE FAILURE,NM N N,NM VBG N
1709,NM NM P N,FAILURE FAILURE FAILURE FAILURE,NM N NM N,NM N D N
1710,NM NM NM P N,FAILURE FAILURE FAILURE FAILURE FAILURE,NM NM N NM N,NM NM N D N
1711,NM NM N,NM NM N,NM NM N,N N N
1712,NM NM V N,FAILURE FAILURE FAILURE FAILURE,NM N N N,NM N VBG N
1713,NM NM NM NM N,NM NM NM NM N,NM NM N NM N,N N N N N
1714,NM NM NM NM N,NM NM NM NM N,NM NM N N N,N N N N N
1715,NM NM NM N,NM NM NM N,N N NM N,N N N N
1716,NM NM NM N,NM NM NM N,N N N N,N N N N
1717,NM NM NM N,NM NM NM N,NM N NM N,N N N N
1718,NM NM NM N,NM NM NM N,NM N N N,N N N N
1719,NM NM NM P N,FAILURE FAILURE FAILURE FAILURE FAILURE,NM N N NM N,N N N D N
1720,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,NM NM N N,NM NM N N
1721,NM NM NM P N,FAILURE FAILURE FAILURE FAILURE FAILURE,NM N N NM N,N N N D N
1722,NM NM NM NM N,NM NM NM NM N,NM N N NM N,N N N N N
1723,NM NM NM NM N,NM NM NM NM N,NM N N N N,N N N N N
1724,NM NM P N,FAILURE FAILURE FAILURE FAILURE,N N NM N,N N D N
1725,NM NM NM P N,FAILURE FAILURE FAILURE FAILURE FAILURE,NM NM N NM N,N N N D N
1726,NM N,NM N,NM N,N N
1727,NM NM P N,FAILURE FAILURE FAILURE FAILURE,NM N NM N,NM N D N
1728,NM NM NM N,FAILURE FAILURE FAILURE FAILURE,N N N N,N N N N
1729,NM NM N,NM NM N,N N N,N N N
1730,N,N,N,N
1731,NM NM N,FAILURE FAILURE FAILURE,N N N,N N N
1732,NM N,NM N,N N,N N
1733,NM N,NM N,N N,N N
1734,NM NM NM N,NM NM NM N,NM N N N,N N N N
1735,NM NM N,NM NM N,NM N N,N N N
1736,N,N,N,N
1737,NM N,NM N,N N,N N
1738,NM NM N,NM NM N,N NM N,N VBD N
1739,N N,NM N,FAILURE FAILURE,N N
1740,NM NM NM N,NM NM NM N,N N N N,N N N N
1741,NM NM NM N,NM NM NM N,N N NM N,N N VBN N
1742,N NM VM NM N,NM NM DT NM N,FAILURE FAILURE FAILURE FAILURE FAILURE,N N VM VBN N
1743,NM NM NM,NM NM N,N N NM,N N N
1744,NM N,NM N,N N,N N
