,sequence,pos,nltk,corenlp,opennlp,spacy,flair
530,needed skew buffer size,VBN JJ NN NN,VBN NN NN NN,JJ NN NN NN,VBN JJ NN NN,JJ NN NN NN,VBN VB NN NN
531,wait for verification,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
532,test datanode block scanner,VB NN NN NN,VB NN NN NN,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
533,corrupt replica,JJ NN,VB NN,VB NN,VB NN,VB NN,JJ NN
534,test block corruption policy,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
535,test block corruption recovery policy 1,VB NN NN NN NN CD,VB NN NN NN NN CD,VB NN NN NN NN CD,VB NN NN NN NN CD,VB NN NN NN NN CD,VB NN NN NN NN CD
536,test block corruption recovery policy 2,VB NN NN NN NN CD,VB NN NN NN NN CD,VB NN NN NN NN CD,VB NN NN NN NN CD,VB NN NN NN NN CD,VB NN NN NN NN CD
537,block corruption recovery policy,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,VB NN NN NN,VB NN NN NN
538,test truncated block report,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB VBN NN NN,VB VBN NN NN
539,change replica length,VB NN NN,VB JJ NN,VB NN NN,VB VB NN,VB NN NN,VB NN NN
540,wait for block deleted,VB IN NN VBN,VB IN NN VBN,VB IN NN VBN,VB IN NN VBN,VB IN NN VBN,VB IN NN VBN
541,test replica info parsing,VB NN NN VBG,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN VBG
542,test replica info parsing single,VB NN NN VBG JJ,VB NN NN VBG JJ,VB NN NN NN JJ,VB NN NN VBG JJ,VB NN NN NN JJ,VB NN NN VBG JJ
543,test duplicate scans,VB NN NNS,VB JJ NNS,VB JJ NN,VB JJ NNS,VB JJ NNS,VB JJ NNS
544,to enum set,TO NN NN,TO NN NN,TO NN NN,TO NN NN,TO NN NN,TO NN NN
545,get value string,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
546,test dir no annotation,VB NN DT NN,VB NN DT NN,VB NN DT NN,VB NN DT NN,VB NN DT NN,VB NN DT NN
547,test jetty no annotation,VB NN DT NN,VB NNP DT NN,VB NN DT NN,VB NN DT NN,VB NN DT NN,VB NN DT NN
548,test jetty no annotation 2,VB NN DT NN CD,VB NNP DT NN CD,VB NN DT NN CD,VB NN DT NN CD,VB NN DT NN CD,VB NN DT NN CD
549,test hdfs no annotation,VB NNP DT NN,VB NN DT NN,VB VB DT NN,VB NN DT NN,VB NN DT NN,VB NNS DT NN
550,test hdfs no annotation 2,VB NNP DT NN CD,VB NN DT NN CD,VB VB DT NN CD,VB NN DT NN CD,VB NN DT NN CD,VB NNS DT NN CD
551,test dir annotation,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
552,wait for,VB IN,VB IN,VB IN,VB IN,VB IN,VB IN
553,evaluate,VB,VB,VB,VB,VB,VB
554,wait for time out ratio 1,VB IN NN IN NN CD,VB IN NN IN NN CD,VB IN NN NN NN CD,VB IN NN NN NN CD,VB IN NN NN NN CD,VB IN NN NN NN CD
555,wait for time out ratio 2,VB IN NN IN NN CD,VB IN NN IN NN CD,VB IN NN NN NN CD,VB IN NN NN NN CD,VB IN NN NN NN CD,VB IN NN NN NN CD
556,sleep ratio 1,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD
557,sleep ratio 2,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD
558,test hadoop file system,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NNS NN NN,VB NN NN NN
559,do get,VB VB,VB VB,VB VB,VB VB,VB VB,VB VB
560,test jetty,VB NN,VB NNP,VB NN,VB NN,VB NN,VB NN
561,test exception 0,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD
562,test exception 1,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD
563,validate options,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
564,build options,VB NNS,VB NNS,VB NNS,NN NNS,VB NNS,VB NNS
565,process options,VB NNS,VB NNS,VB NNS,NN NNS,VB NNS,VB NNS
566,start server,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
567,get total cpu time,VB JJ NNP NN,VB JJ NN NN,VB JJ NNP NN,VB JJ NN NN,VB JJ NNP NN,VB JJ NNP NN
568,setup client test context,NN NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
569,do an action,VB DT NN,VB DT NN,VB VB NN,VB NN NN,VB NN NN,VB IN NN
570,do echo,VB NN,VB VBP,VB VB,VB NN,VB VB,VB VB
571,create rpc client,VB NN NN,VB NN NN,VB NN NN,VB VBN NN,VB NN NN,VB NN NN
572,set name node logging level,VB NN NN VBG NN,VB NN NN VBG NN,VB NN NN NN NN,VB NN NN VBG NN,VB NN NN NN NN,VB NN NN VBG NN
573,get op name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
574,parse arguments,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
575,generate inputs,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
576,get execution argument,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
577,execute op,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
578,print results,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
579,benchmark,NN,NN,VB,VB,VB,NN
580,is in porgress,VBZ IN NN,VBZ IN NN,VBZ IN NN,VBZ IN NN,VBZ IN NN,VBZ IN NN
581,clean up,VB RP,VB RP,VB RP,VB RP,VB RP,VB RP
582,get num ops executed,VB NN NNS VBD,VB NN NNS VBN,VB NN NNS VBN,VB NN NNS VBN,VB NN NNS VBN,VB JJ NNS VBN
583,get cumulative time,VB JJ NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN
584,get elapsed time,VB JJ NN,VB JJ NN,VB NN NN,VB VBN NN,VB JJ NN,VB VBN NN
585,get average time,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
586,get ops per second,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN JJ,VB NNS IN JJ,VB NNS IN NN
587,get base dir,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
588,get client name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
589,increment stats,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
590,verify op argument,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
591,print stats,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
592,benchmark one,NN CD,VB CD,VB CD,VB CD,VB CD,NN CD
593,is in progress,VBZ IN NN,VBZ IN NN,VBZ IN NN,VBZ IN NN,VBZ IN NN,VBZ IN NN
594,terminate,VB,VB,JJ,VB,JJ,VB
595,dummy action no synch,JJ NN DT NN,VB NN DT NN,VB NN DT NN,VB NN RB VB,VB NN DT NN,NN NN DT NN
596,get node port,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
597,get xfer addr,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
598,register,NN,VB,VB,VB,VB,VB
599,add block,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
600,form block report,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
601,get block report list,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
602,replicate blocks,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
603,transfer blocks,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
604,get num datanodes,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNS,VB JJ NNS
605,add blocks,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
606,decommission nodes,NN NNS,NN NNS,VB NNS,NN NNS,NN NNS,NN NNS
607,get blocks per second,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN JJ,VB NNS IN JJ,VB NNS IN NN
608,run benchmark,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
609,get expected owner,VB JJ NN,VB VBN NN,VB JJ NN,VB VBN NN,VB JJ NN,VB VBN NN
610,get expected permission string,VB JJ NN NN,VB VBN NN NN,VB JJ NN NN,VB VBN NN NN,VB JJ NN NN,VB VBN NN NN
611,test container version metadata,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NN
612,get fs,VB NN,VB NN,VB NN,VB NN,VB NN,VB FW
613,get container metadata,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NN
614,test pre existing container version metadata,VB IN JJ NN NN NNS,VB IN JJ NN NN NNS,VB IN JJ NN NN NNS,VB IN JJ NN NN NNS,VB NN JJ NN NN NNS,VB IN JJ NN NN NN
615,test first container version metadata,VB DT NN NN NNS,VB JJ NN NN NNS,VB JJ NN NN NNS,VB JJ NN NN NNS,VB JJ NN NN NNS,VB JJ NN NN NN
616,test permission metadata,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NN
617,test old permission metadata,VB JJ NN NNS,VB JJ NN NN,VB NN NN NNS,VB NN NN NNS,VB JJ NN NNS,VB JJ NN NN
618,test folder metadata,VB NN NNS,VB NN NN,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNS
619,check block location,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
620,test block location constructors,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
621,test block location setters,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
622,get,VB,VB,VB,VB,VB,VB
623,get declared class,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
624,read fields,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
625,write object,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
626,read object,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
627,try instantiate protobuf,VB NN NN,VB VB NN,VB VB NN,VB VB NN,VB JJ NNS,VB JJ NN
628,get static protobuf method,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ JJ NN,VB JJ NN NN
629,load class,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
630,map,VB,NN,VB,VB,VB,NN
631,reduce,VB,VB,VB,VB,VB,VB
632,test default offsets,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB NN NNS,VB JJ NNS,VB NN NNS
633,test custom offsets,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB NN NNS,VB JJ NNS,VB JJ NNS
634,test lower bound,VB JJR NN,VB JJR NN,VB NN NN,VB NN NN,VB JJ NN,VB JJ NN
635,test upper bound,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN
636,flush,VB,VB,VB,VB,VB,VB
637,to avro,TO NNP,TO NN,TO NN,TO JJ,TO NN,TO NN
638,test fs,VB NN,VB NN,VB NN,VB NN,VB NN,VB NNS
639,test command format,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
640,create control file,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
641,write test,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
642,read test,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
643,seek test,VB NN,VB NN,VB NN,VB VB,VB NN,VB NN
644,test fs cache,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB FW NN
645,run test cache,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
646,test fs close,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB FW VB,VB FW VB
647,test fs shutdown hook,VB NN NN NN,VB VB NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB FW NN NN
648,test cache keys are case insensitive,VB NN NNS VBP NN JJ,VB NN NNS VBP NN JJ,VB NN NNS VBP NN JJ,VB NN NNS VBP NN JJ,VB NN NNS VBP NN JJ,VB NN NNS VBP NN JJ
649,test fs uniqueness,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NNS NN
650,set closed set,VB JJ NN,VB JJ NN,VB VBN NN,VB VBN NN,VB VBN NN,VB VBN NN
651,has next,VBZ NN,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ
652,next value,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
653,next key,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
654,reinitialize,VB,VB,VB,VB,VB,VB
655,exit reset mode,VB NN NN,VB VB NN,NN NN NN,VB VB NN,VB NN NN,VB NN NN
656,get output stream,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
657,update counters,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
658,clear mark,VB NN,VB NN,VB VB,VB NN,JJ NN,JJ NN
659,clear segment list,VB NN NN,VB NN NN,VB NN NN,VB NN NN,JJ NN NN,VB NN NN
660,unreserve,NN,VB,VB,VB,NN,NN
661,create new memory block,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
662,reserve space,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
663,create in memory segment,VB IN NN NN,VB IN NN NN,VB IN NN NN,VB IN NN NN,VB IN NN NN,VB IN NN NN
664,activate,VB,VB,VB,VB,VB,VB
665,create in disk segment,VB IN NN NN,VB IN NN NN,VB IN NN NN,VB IN NN NN,VB IN NN NN,VB IN NN NN
666,is active,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ
667,create spill file,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
668,reserve,VB,VB,VB,VB,VB,VB
669,test compressor pool counts,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB JJ NN NNS,VB NN NN NNS
670,test decompressor pool counts,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS,VB NN NN NNS
671,pre head,IN VBP,IN NN,IN JJ,IN JJ,IN NN,IN NN
672,content,NN,NN,NN,VB,NN,NN
673,render,VB,VB,VB,VB,VB,VB
674,print log file,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
675,print log file directory,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
676,cluster setup at begining,VB NN IN VBG,NN NN IN NN,NN NN IN NN,NN NN IN NN,NN NN IN NN,NN NN IN NN
677,test file status serialziation,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
678,test get file checksum,VB VB NN NN,VB VB NN NN,VB VB NN NN,VB VB NN NN,VB VB NN NN,VB VB NN NN
679,cleanup,NN,NN,NN,VB,NN,NN
680,get input stream,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
681,hflush,NNP,VB,VB,VB,VB,NN
682,hsync,NNP,NN,VB,JJ,NN,NNP
683,check stream,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
684,release buffer,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
685,get file descriptor,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
686,choose local storage,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
687,second node,CD NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
688,choose local rack,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
689,choose remote rack,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
690,choose local node group,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
691,get rack,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
692,add to excluded nodes,VB TO JJ NNS,VB TO JJ NNS,VB TO JJ NNS,VB TO VB NNS,VB TO JJ NNS,VB TO JJ NNS
693,add dependent nodes to excluded nodes,VB JJ NNS TO JJ NNS,VB JJ NNS TO JJ NNS,VB JJ NNS TO JJ NNS,VB JJ NNS TO JJ NNS,VB JJ NNS TO JJ NNS,VB JJ NNS TO JJ NNS
694,pickup replica set,NN NN NN,NN NN NN,VB NN NN,NN NN NN,NN NN NN,JJ NN NN
695,accept,VB,VB,VB,VB,VB,VB
696,check for s n n threads,VB IN FW FW FW NNS,VB IN FW JJ JJ NNS,VB IN JJ NN NN NNS,VB IN FW NN NN NNS,VB IN FW NN NN NNS,VB IN NN NN NN NNS
697,check file,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
698,cleanup file,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
699,test name dir error,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN JJ NN
700,test write transaction id handles i o e,VB VB NN NN VBZ NN NN FW,VB VB NN NN NNS VB VBP NN,VB VB NN NN VBZ NN NN NN,VB VB NN NN NN NN NN NN,VB VB NN NN NN NNS NN NN NN,VB VB NN NN VB NN NN NN
701,test reload on edit replay failure,VB VB IN NN NN NN,VB VB IN NN NN NN,VB VB IN NN NN NN,VB VB IN NN NN NN,VB VB IN VB NN NN,VB VB IN VB NN NN
702,test too many edit replay failures,VB RB JJ VBP NN NNS,VB RB JJ NN NN NNS,VB RB JJ NN NN NNS,VB NN JJ NN NN NNS,VB RB JJ NN NN NNS,VB RB JJ NN NN NNS
703,test secondary namenode error 1,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD
704,test secondary namenode error 2,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD
705,test secondary namenode error 3,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD,VB JJ NN NN CD
706,test secondary fails with error before setting headers,VB JJ NNS IN NN IN VBG NNS,VB JJ NNS IN NN IN VBG NNS,VB JJ NNS IN NN IN NN NNS,VB JJ NNS IN NN IN NN NNS,VB JJ NNS IN NN IN VBG NNS,VB JJ NNS IN NN IN VBG NNS
707,do secondary fails to return image,VB JJ NNS TO VB NN,VB JJ VB TO NN NN,VB JJ NNS TO NN NN,VB JJ NNS TO NN NN,VB JJ NNS TO NN NN,VB JJ NNS TO VB NN
708,file path containing,NN NN VBG,NN NN VBG,NN NN VBG,NN NN VBG,NN NN VBG,NN NN VBG
709,is time unit,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN
710,is work unit,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN,VBZ NN NN
711,parse rate opt,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
712,parse unit,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
713,set reps,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
714,set units,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
715,set unit name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
716,add time,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
717,set error,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
718,set modifiers,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
719,get reps per run,VB NNS IN NN,VB NNS IN VB,VB NN IN NN,VB NNS IN VB,VB NN IN VB,VB NNS IN NN
720,get units per rep,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN VB,VB NNS IN NN,VB NNS IN NN
721,get units per run,VB NNS IN NN,VB NNS IN VB,VB NNS IN VB,VB NNS IN VB,VB NNS IN VB,VB NNS IN NN
722,get modifiers,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
723,get num runs,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NN,VB JJ NNS
724,get time,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
725,get reps per second,VB NNS IN NN,VB NNS IN NN,VB NN IN JJ,VB NNS IN JJ,VB NN IN JJ,VB NNS IN NN
726,get units per second,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN JJ,VB NNS IN JJ,VB NNS IN NN
727,get total reps,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
728,get total units,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
729,get total time,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
730,get average reps per second,VB JJ NNS IN NN,VB JJ NNS IN NN,VB JJ NN IN JJ,VB JJ NNS IN JJ,VB JJ NN IN JJ,VB JJ NNS IN NN
731,get average units per second,VB JJ NNS IN NN,VB JJ NNS IN NN,VB JJ NNS IN NN,VB JJ NNS IN JJ,VB JJ NNS IN JJ,VB JJ NNS IN NN
732,get average string,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
733,summarize,VB,VB,VB,VB,VB,VB
734,visit,VB,VB,VB,VB,VB,VB
735,load options,VB NNS,VB NNS,VB NNS,NN NNS,VB NNS,VB NNS
736,save options,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
737,get file chooser,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
738,save or discard last results,VB CC VB JJ NNS,VB CC VB JJ NNS,VB CC VB JJ NNS,VB CC VB JJ NNS,VB CC VB JJ NNS,VB CC VB JJ NNS
739,input user str,VB NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN
740,save results,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
741,start gui,VB NNP,VB NN,VB NN,VB NN,VB NN,VB NN
742,get preferred size,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
743,action performed,NN VBN,NN VBN,NN NN,NN VBN,NN VBN,NN VBN
744,run tests,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
745,window closing,NN VBG,VB NN,NN VBG,NN VBG,NN VBG,NN VBG
746,set title,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
747,set description,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
748,record,VB,NN,NN,VB,VB,VB
749,make alpha color,VB NN NN,VB JJ NN,VB NN NN,VB JJ NN,VB JJ NN,VB NN NN
750,init test,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
751,pixels touched,NNS VBN,NNS VBN,VB NN,NNS VBN,NN VBN,NNS VBN
752,create context,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
753,get output size,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
754,init context,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
755,cleanup test,VB NN,NN NN,NN NN,VB VB,NN NN,NN NN
756,get short name,VB JJ NN,VB JJ NN,VB NN NN,VB NN NN,VB JJ NN,VB JJ NN
757,get description,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
758,scale for point,VB IN VB,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
759,scale for transform,VB IN VB,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN VB
760,init contents,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
761,run test,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
762,init iio write formats,VB NNP VBP NNS,VB NN VB NNS,VB NN NN NNS,VB NN VB NNS,VB NN VB NNS,VB NN VB NNS
763,is compatible,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ
764,image started,NN VBD,NN VBD,NN VBN,NN VBD,NN VBD,NN VBN
765,image progress,NN VB,NN NN,NN NN,VB NN,NN NN,NN NN
766,image complete,NN VB,NN JJ,NN JJ,VB JJ,NN JJ,NN JJ
767,thumbnail started,NN VBD,NN VBD,NN VBN,NN VBD,NN VBD,NN VBD
768,thumbnail progress,NN VB,VB NN,VB NN,NN NN,NN NN,NN NN
769,thumbnail complete,NN VB,VB JJ,VB JJ,NN JJ,NN JJ,NN JJ
770,write aborted,VB VBN,VB VBN,VB VBN,VB VBN,VB VBN,VB VBN
771,init iio read formats,VB NNP VBP NNS,VB JJ VB NNS,VB JJ VB NNS,VB JJ VB NNS,VB NN NN NNS,VB NN NN NNS
772,sequence started,NN VBD,NN VBD,NN VBN,NN VBD,NN VBD,NN VBD
773,sequence complete,NN VB,NN JJ,NN JJ,NN JJ,NN JJ,NN JJ
774,read aborted,NN VBN,VB VBN,VB VBN,VB VBN,VB VBN,VB VBN
775,get abbreviated modifier description,VB JJ NN NN,VB VBN NN NN,VB NN NN NN,VB VBN NN NN,VB JJ NN NN,VB VBN NN NN
776,get modifier value name,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
777,init output,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
778,create image output stream,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
779,close original stream,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
780,create buffered image,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB VBN NN,VB VBN NN
781,init input,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
782,create image input stream,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
783,get unit name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
784,get image,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
785,get j component,VB FW NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
786,restore default,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
787,set option,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
788,make gradient colors,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
789,make linear,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
790,make radial,VB NN,VB JJ,VB NN,VB JJ,VB NN,VB JJ
791,make texture paint,VB NN NN,VB NN NN,VB JJ VB,VB NN NN,VB NN NN,VB NN NN
792,float object list,NN NN NN,VB NN NN,NN NN NN,VB NN NN,VB NN NN,VB NN NN
793,float string list,NN NN NN,VB NN NN,NN NN NN,VB NN NN,VB NN NN,VB NN NN
794,int string list,NN NN NN,VB NN NN,NN NN NN,VB NN NN,NN NN NN,VB NN NN
795,get string,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
