,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
1152,cosine decay test,NN NN NN,NN NN NN,JJ NN NN,NN NN NN,NN NNP NN,NN NN NN,JJ NN NN
1153,cosine decay restarts test,NN NN NNS NN,NN NN VBZ NN,JJ NN NNS NN,NN NN NNS NN,NN NN NNS VBP,NN NN VBZ NN,NN NN VBZ NN
1154,constraints test,NNS NN,NNS NN,NNS NN,NNS NN,NNS NN,NNS VBP,NNS NN
1155,constraint,NN,NN,NN,NN,VB,NN,NN
1156,max norm,JJ NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
1157,non neg,RB NN,NN NN,FW FW,NN NN,NNP NNP,AFX NN,RB UH
1158,unit norm,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1159,min max norm,JJ JJ NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,UH NN NN,NN NN NN
1160,regularizers test,NNS NN,NNS VBP,NNS NN,NNS NN,NNS VBP,NNS VBP,NNS VBP
1161,validate float arg test,VB NN NN NN,NN NN RB NN,VB NN NN NN,JJ NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1162,regularizer,NNP,NN,NN,NN,NN,NN,NN
1163,l 1 l 2,FW CD FW CD,NN CD NN CD,NN CD NN CD,NN CD NN CD,NN CD NN CD,NN CD NN CD,NNP CD NNP CD
1164,l 1,FW CD,NN CD,NN CD,NN CD,NN CD,LS CD,NNP CD
1165,l 2,FW CD,NN CD,NN CD,NN CD,NN CD,LS CD,NNP CD
1166,orthogonal regularizer,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1167,naming utils test,NN NNPS NN,VBG JJ NN,VBG NNS NN,VBG NNS NN,VBG NNS VBP,NN NNS NN,VBG NNS NN
1168,object without name,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN,VB IN NN,NN IN NN
1169,object without name or class,NN IN NN CC NN,NN IN NN CC NN,NN IN NN CC NN,NN IN NN CC NN,VB IN NN CC NN,VB IN NN CC NN,NN IN NN CC NN
1170,mock keras object,JJ NNP NN,NN NNS VBP,JJ NNS VBP,JJ NNS VBP,JJ NNS VBP,JJ NNP NN,VB NN NN
1171,path to string test,NN IN NN NN,NN TO VBG NN,NN IN NN NN,NN TO NN NN,NN IN NN NN,NN IN NN NN,NN IN NN NN
1172,non string typed path object,RB NN JJ NN NN,RB VBG VBN NN NN,FW NN VBN NN NN,JJ NN VBN NN NN,NNP NN VBN NN NN,AFX NN VBN NN NN,AFX NN VBN NN NN
1173,resolve path test,VB NN NN,VB NN NN,NN NN NN,NN NN NN,VB NN NN,VB NN NN,VB NN NN
1174,is path in dir test,VBZ NN IN NN NN,VBZ NN IN JJ NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN JJ NN,VBZ NN IN NN NN,VBZ NN IN NN NN
1175,is link in dir test,VBZ NN IN NN NN,VBZ VBN IN JJ NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN,VBZ NN IN NN NN
1176,filter safe paths test,VB JJ NNS NN,NN JJ NNS NN,NN JJ NNS NN,RB JJ NNS NN,JJ JJ NNS VBP,NN JJ NNS VBP,VB JJ NNS NN
1177,extract archive test,VB NNP NN,JJ JJ NN,NN NN NN,VB NN NN,VB JJ NN,JJ NN NN,NN NN NN
1178,get file test,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1179,hash file test,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
1180,test validate file,VB VB NN,NN NN NN,NN VBP NN,NN NN NN,NN NN NN,NN VB NN,NN NN NN
1181,resolve hasher test,VB NN NN,VB JJR NN,NN NN NN,NN VBZ NN,VB NN NN,VB NN NN,VB NN NN
1182,is remote path test,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN
1183,test raise if no g file,VB VB IN DT FW NN,NN NN IN DT NN NN,NN NN IN DT NN NN,NN VB IN DT NN NN,NN VBP IN DT NN NN,NN VB IN DT NN NN,NN NN IN DT NN NN
1184,text dataset from directory test,VB NN IN NN NN,JJ NN IN JJ NN,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN
1185,torch module wrapper,NNP NN NN,NN NN IN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
1186,image dataset from directory test,NN NN IN NN NN,NN NN IN JJ NN,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN,NN NN IN NN NN
1187,flax layer,NN NN,NN NN,JJ NN,NN NN,JJ NN,NN NN,NN NN
1188,timeseries dataset test,NNS NN NN,NNS VBP NN,NNS NN NN,NNS NN NN,NNS VBP NN,NNS NN NN,NN NN NN
1189,tree test,NN NN,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN
1190,prog bar,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1191,dot not track scope,NN RB VBP NN,NN RB VB NN,NN RB VB NN,NN RB NN NN,NN RB VB NN,NN RB VB NN,VB RB VB NN
1192,tracker,NN,NN,NN,NN,NNP,NN,NN
1193,tracked list,VBN NN,JJ NN,JJ NN,VBN NN,VBN NN,VBN NN,VBN NN
1194,tracked dict,VBN NN,VBN NN,VBN NN,VBN NN,VBD NNP,VBN NN,VBN NN
1195,tracked set,VBN NN,VBN NN,VBN NN,VBN NN,VBD VBN,VBN NN,VBN NN
1196,dataset utils test,NN NNS NN,NN NNS NN,NN VBZ NN,NN NNS NN,JJ NNS VBP,NN NNS NN,NN NNS NN
1197,dataset,NN,NN,NN,NN,VB,NN,NN
1198,classifier,NN,NN,NN,NN,NNP,NN,NN
1199,classifier with no special casing,NN IN DT JJ NN,NN IN DT JJ NN,NN IN DT JJ NN,NN IN DT JJ NN,NN IN DT JJ NN,NN IN DT JJ NN,NN IN DT JJ NN
1200,torch utils test,NNP NNS NN,NN JJ NN,NN VBZ NN,NN NNS NN,NN VBZ VBP,NN NNS NN,NN NNS NN
1201,test numerical utils,VB JJ NNS,RB JJ NNS,NN JJ NNS,NN JJ NNS,NNP NNP NNS,NN JJ NNS,NN JJ NNS
1202,flax training independent model,NN NN JJ NN,JJ NN JJ NN,JJ NN JJ NN,JJ NN JJ NN,NNS VBG JJ NN,NN NN JJ NN,NN NN JJ NN
1203,flax dropout model,NN NN NN,NN NN NN,JJ NN NN,JJ NN NN,NNP NN NN,NN NN NN,NN NN NN
1204,flax batch norm model,NN NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,NNP NNP NN NN,NN NN NN NN,NN NN NN NN
1205,test jax layer,VB NNP NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
1206,test model,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1207,my flax layer,PRP$ NN NN,PRP$ NN NN,PRP$ NN NN,PRP$ NN NN,PRP$ JJ NN,PRP$ NN NN,PRP$ NN NN
1208,named point,JJ NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN,VBN NN
1209,tracking test,NN NN,VBG NN,VBG NN,NN NN,VBG NN,NN NN,NN NN
1210,tf graph scope,NNP NN NN,NN NN NN,NN NN NN,JJ NN NN,UH NN NN,IN NN NN,UH NN NN
1211,dynamic backend,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1212,dl prog bar,NNP NNS NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,FW NN NN,NNP NN NN
1213,python utils test,NNP NNS NN,NN JJ NN,NN VBZ NN,NN NNS NN,NNP VBZ NN,NN NNS NN,NN NNS NN
1214,lazy module,JJ NN,NN NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1215,test random seed setting,VB JJ NN NN,NN NN NN VBG,NN JJ NN NN,NN JJ NN VBG,VB JJ NN VBG,NN JJ NN NN,NN JJ NN NN
1216,test io utils,VB NNP NNS,NN NN NNS,NN NNP VBZ,NN NN NNS,NN VBZ NNS,NN IN NNS,NN NN NNS
1217,test count loc,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
1218,map to none,VB IN PRP,NN TO NN,NN IN NN,NN TO NN,NN IN NN,NN IN NN,NN IN NN
1219,pad sequences test,VB NNS NN,NN NNS NN,NN NNS NN,NN NNS NN,NNP NNP NN,NN NNS NN,NN NNS NN
1220,summary utils test,VB NNS NN,JJ NNS NN,NN VBZ NN,NN NNS NN,NN NNS VBP,JJ NNS NN,NN NNS NN
1221,d type size tests,FW NN NN NNS,NN NN NN NNS,NN NN NN NNS,JJ NN NN NNS,LS NN NN NNS,NN NN NN NNS,NN NN NN NNS
1222,is float tests,VBZ NN NNS,VBZ NN NNS,VBZ NN NNS,VBZ NN NNS,VBZ NN NNS,VBZ NN NNS,VBZ NN NNS
1223,cast to common d type,VB IN JJ FW NN,NN TO JJ NN NN,NN IN JJ NN NN,NN TO JJ NN NN,VBN IN JJ NN NN,VBN IN JJ NN NN,VB IN JJ NN NN
1224,audio dataset from directory test,NN NN IN NN NN,JJ NN IN JJ NN,JJ NN IN NN NN,JJ NN IN NN NN,NNP NN IN NN NN,JJ NN IN NN NN,JJ NN IN NN NN
1225,segment sum,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1226,segment max,NN NN,NN NN,NN NN,NN NN,NN NNP,NN NN,NN NN
1227,top k,JJ CD,JJ NN,JJ NN,NN NN,NNP NN,JJ NN,JJ NN
1228,in top k,IN JJ CD,IN JJ NN,IN JJ NN,IN NN NN,IN NN NN,IN JJ NN,IN NN NN
1229,logsumexp,NNP,NN,NN,NN,VB,NNP,NN
1230,extract sequences,VB NNS,NN NNS,NN NNS,VB NNS,VB NNS,JJ NNS,NN NNS
1231,fft,NNP,NN,NN,NN,NN,NN,NN
1232,fft 2,NNP CD,NN CD,NN CD,NN CD,NN CD,NN CD,NN CD
1233,rfft,NNP,NN,NN,NN,NNS,NNP,UH
1234,irfft,NNP,NN,NN,NN,NNS,NNP,UH
1235,stft,NNP,NN,NN,NN,NNP,NN,NN
1236,istft,NNP,NN,NN,NN,NNP,NNP,NN
1237,r sqrt,NNP NNP,NN NN,LS NN,NN NN,NN NN,PRP$ NN,VBP NN
1238,erf,NNP,NN,NN,NN,NNP,UH,NNP
1239,erf inv,NNP NNP,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
1240,dummy layer,JJ NN,NN NN,JJ NN,JJ NN,JJ NN,JJ NN,NN NN
1241,node test,NN NN,JJ NN,NN NN,NN NN,NNP NN,NN NN,NN NN
1242,op with multiple inputs,NN IN JJ NNS,NN IN JJ NNS,NN IN JJ NNS,NN IN JJ NNS,NN IN JJ NNS,RB IN JJ NNS,NN IN JJ NNS
1243,op with multiple outputs,NN IN JJ NNS,NN IN JJ NNS,NN IN JJ NNS,NN IN JJ NNS,NN IN JJ NNS,RB IN JJ NNS,NN IN JJ NNS
1244,op with custom constructor,NN IN JJ NN,NN IN NN NN,NN IN NN NN,NN IN NN NN,NN IN NN NN,VB IN NN NN,NN IN JJ NN
1245,operation test,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1246,absolute,JJ,NN,JJ,JJ,VB,JJ,JJ
1247,abs,JJ,NNS,NNS,NNS,NNS,XX,NNS
1248,add,VB,VB,VB,VB,VB,VB,VB
1249,all,DT,DT,DT,PDT,DT,DT,DT
1250,any,DT,DT,DT,DT,DT,DT,DT
1251,a max,DT NN,DT NN,DT NN,DT NN,DT NN,DT NN,DT NN
1252,amin,NNP,NN,NN,NN,NN,UH,NNP
1253,append,VB,NN,VBP,NN,VB,VB,VB
1254,a range,DT NN,DT NN,DT NN,DT NN,DT NN,DT NN,DT NN
1255,arccos,NNP,NN,NNS,NNS,NNP,NNS,NN
1256,arc cosh,NNP NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
1257,arcsin,NNP,NN,NN,NN,NNP,NNP,NNP
1258,arc sinh,NNP NNP,NN NN,NN NN,NN NN,NNP NNP,NN NN,NNP NNP
1259,arctan,NNP,NN,NNP,NN,NNP,NNP,NNP
1260,arctan 2,NNP CD,RB CD,NN CD,NN CD,NNP CD,NNP CD,NNP CD
1261,arc tanh,NNP NNP,NN NN,NN NN,NN NN,NNP NN,NNP NN,NNP NNP
1262,arg max,NNP JJ,NN NN,NN NN,NN NN,NN NNP,NNP NNP,NN NN
1263,arg min,NNP JJ,NN NN,NN NN,NN NN,NNP NN,NNP NNP,NN NN
1264,arg sort,NN NN,NN NN,NN NN,NN NN,NN NN,NNP RB,NN NN
1265,array,NN,NN,NN,NN,VB,NN,NN
1266,average,NN,JJ,JJ,NN,JJ,JJ,JJ
1267,bin count,JJ NN,NN NN,NN NN,NN NN,NN NN,NN NN,NNP NN
1268,broadcast to,VB IN,NN TO,NN TO,NN TO,VBN IN,NN IN,VB IN
1269,ceil,VB,NN,NN,NN,NNP,NN,NN
1270,clip,VB,NN,NN,NN,NNP,NN,NN
1271,concatenate,VB,NN,JJ,NN,VB,JJ,VB
1272,conjugate,VB,NN,NN,NN,VB,VB,NN
1273,conj,VB,NN,NN,NN,NN,NNP,NN
1274,copy,VB,NN,NN,NN,NN,NN,NN
1275,cos,NN,NN,NNS,NNS,NNP,NNS,UH
1276,cosh,NN,NN,NN,NN,NNP,NN,NN
1277,count nonzero,VB JJ,NN NN,VB JJ,NN NN,VB NN,VB CD,VB NN
1278,cross,VB,NN,NN,NN,VB,NN,NN
1279,cumprod,NNP,NN,NN,NN,NNP,NN,NN
1280,cumsum,NNP,NN,NNP,NN,NN,NN,NN
1281,diag,NN,NN,NN,NN,NNP,FW,NN
1282,diagonal,NN,NN,JJ,JJ,JJ,JJ,NN
1283,diff,NN,NN,NN,NN,NN,NN,NN
1284,digitize,VB,VB,VB,VB,VB,VB,VB
1285,dot,VB,NN,NN,NN,NN,NN,NN
1286,einsum,NNP,NN,NNP,CC,NN,NNP,NN
1287,empty,JJ,JJ,JJ,JJ,JJ,JJ,JJ
1288,equal,JJ,JJ,JJ,JJ,JJ,JJ,JJ
1289,exp,NN,NN,NN,NN,ADD,UH,NN
1290,expand dims,VB NNS,NN NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1291,expm 1,NNP CD,RB CD,NN CD,NN CD,NNP CD,NN CD,NNP CD
1292,flip,VB,NN,NN,VB,VB,VB,VB
1293,floor,VB,NN,NN,NN,NN,NN,NN
1294,full,JJ,JJ,JJ,JJ,JJ,JJ,JJ
1295,full like,JJ JJ,JJ IN,JJ UH,JJ IN,JJ IN,JJ UH,JJ JJ
1296,get item,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1297,greater,JJR,JJR,JJR,RBR,JJR,JJR,JJR
1298,greater equal,JJR JJ,JJR JJ,JJR JJ,JJR JJ,RBR JJ,JJR JJ,JJR JJ
1299,h stack,FW NN,NN NN,NN NN,NN NN,NNP NN,ADD NN,UH NN
1300,identity,NN,NN,NN,NN,NN,NN,NN
1301,i mag,PRP VBP,NN NN,PRP VBP,NN NN,PRP VBD,PRP NN,PRP VBP
1302,is close,VBZ JJ,VBZ JJ,VBZ JJ,VBZ RB,VBZ JJ,VBZ JJ,VBZ JJ
1303,is finite,VBZ JJ,VBZ JJ,VBZ JJ,VBZ JJ,VBZ NNP,VBZ JJ,VBZ JJ
1304,is inf,VBZ NNP,VBZ JJ,VBZ NN,VBZ NN,VBZ VB,VBZ XX,VBZ NN
1305,is nan,VBZ NNP,VBZ JJ,VBZ NNP,VBZ NN,VBZ NNP,VBZ NNP,VBZ NN
1306,less,JJR,RBR,RBR,RBR,RBR,JJR,JJR
1307,less equal,JJR JJ,RBR JJ,RBR JJ,RBR JJ,RBR JJ,RBR JJ,RBR JJ
1308,linspace,NNP,NN,NN,NN,NN,NNP,NNP
1309,log,NN,NN,NN,NN,VB,VB,VB
1310,log10,NNP,NN,NN,.,NNP,NN,ADD
1311,log 1 p,NN CD FW,NN CD NN,NN CD NN,NN CD NN,VB CD NN,NN CD NN,VB CD NN
1312,log2,NNP,NN,NN,NN,NN,NN,NN
1313,log add exp,NN VBP NN,NN VB NN,NN VBP NN,VBP VB NN,NN VB NN,NN VB NN,VB VB NN
1314,logical and,JJ CC,JJ CC,JJ CC,JJ CC,JJ CC,JJ CC,JJ CC
1315,logical not,JJ RB,JJ RB,JJ RB,JJ RB,JJ RB,JJ RB,JJ RB
1316,logical or,JJ CC,JJ CC,JJ CC,JJ CC,JJ CC,JJ CC,JJ CC
1317,log space,VB NN,NN NN,NN NN,NN NN,VB NN,VB NN,VB NN
1318,mat mul,NN NN,NN NN,NN NN,NN MD,NNP NNP,UH NN,NN NN
1319,max,NN,NN,NN,NN,NNP,NNP,NN
1320,maximum,NN,NN,NN,NN,JJ,JJ,NN
1321,median,NN,NN,NN,NN,NNP,NN,NN
1322,mesh grid,NN NN,JJ NN,NN NN,NN NN,NNP NN,NN NN,NN NN
1323,min,NN,NN,NN,NN,NN,NNP,NNP
1324,minimum,NN,NN,NN,NN,NN,NN,NN
1325,mod,NN,NN,NNP,NN,NNP,UH,NN
1326,move axis,NN NN,NN NN,VB NN,NN NN,VB RB,VB NN,VB NN
1327,nan to num,NNP IN NN,NN TO VB,NNP IN NNP,NN TO NN,NNP IN NNP,NNP IN UH,NN IN NN
1328,n dim,FW NN,NNS NN,NN NN,RB JJ,CC NNP,NFP VB,CC UH
1329,nonzero,NNP,NN,JJ,NN,NN,CD,NN
1330,not equal,RB JJ,RB JJ,RB JJ,RB JJ,RB JJ,RB JJ,RB JJ
1331,ones like,NN CC,NNS IN,NNS UH,NNS IN,NNS IN,NNS UH,NNS UH
1332,zeros like,NNS CC,NNS IN,NNS UH,NNS IN,NNS IN,NNS UH,NNS UH
1333,outer,JJ,NN,JJ,JJ,JJ,JJ,JJ
1334,pad,NN,NN,NN,NN,NN,NN,NN
1335,prod,NN,NN,NN,NN,NNP,NN,NN
1336,quantile,NN,NN,RB,NN,VB,JJ,JJ
1337,ravel,VB,NN,NN,NN,NN,NN,NNP
1338,real,JJ,JJ,JJ,JJ,JJ,RB,JJ
1339,reciprocal,JJ,JJ,JJ,NN,JJ,JJ,JJ
1340,repeat,VB,NN,NN,NN,NN,VB,VB
1341,reshape,VB,NN,VB,NN,NN,VB,VB
1342,roll,VB,NN,NN,NN,VB,NN,NN
1343,round,VB,NN,RB,NN,RB,JJ,RB
1344,sign,VB,NN,NN,NN,VB,NN,VB
1345,sin,NNP,NN,NN,NN,NN,NN,NN
1346,sinh,NNP,NN,NN,NN,VB,NN,NNP
1347,size,NN,NN,NN,NN,NN,NN,NN
1348,sort,VB,NN,RB,NN,VB,RB,NN
1349,split,VB,NN,NN,NN,VB,VB,VB
1350,stack,NN,NN,NN,NN,NN,NN,NN
1351,std,NNP,NN,NN,NN,NNP,JJ,NN
1352,swapaxes,NNPS,NNS,NNS,NNS,NNS,NNS,NNS
1353,take,VB,VB,VB,VB,VB,VB,VB
1354,take along axis,VB IN NN,VB RP NNS,VB RP NN,VB RB .,VB RB NN,VB RP NNS,VB IN NN
1355,tan,NNP,NN,NN,NN,NNP,NNP,UH
1356,tanh,NNP,NN,NN,NN,RB,NN,UH
1357,tensor dot,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1358,tile,VB,NN,NN,NN,NN,NN,NN
1359,trace,VB,NN,NN,NN,NN,NN,NN
1360,tri,NNP,NN,FW,NN,JJ,NN,UH
1361,tril,NNP,NN,NN,NN,VB,NN,NNP
1362,triu,NNP,NN,NN,NN,NN,NNP,NN
1363,v dot,FW NN,NNS VBP,NN NN,NN NN,IN NN,NN NN,NN NN
1364,v stack,FW NN,NN NN,NN NN,NN NN,RB NN,NN NN,NN NN
1365,where,WRB,WRB,WRB,WRB,WRB,WRB,WRB
1366,subtract,VB,NN,VB,NN,VB,VB,VB
1367,multiply,VB,NN,VB,RB,VB,VB,VB
1368,divide,VB,NN,NN,NN,NN,NN,VB
1369,divide no nan,VB DT NNP,RB DT NN,VBP DT NNP,VB DT NN,VB DT NNP,VB DT NN,VB DT NN
1370,true divide,RB VB,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1371,power,NN,NN,NN,NN,NN,NN,NN
1372,negative,VB,JJ,JJ,JJ,JJ,JJ,NN
1373,square,VB,NN,JJ,NN,JJ,JJ,JJ
1374,sqrt,NNP,NN,NN,NN,NNP,NN,NNP
1375,squeeze,VB,NN,NN,NN,NN,VB,VB
1376,transpose,VB,NN,VB,NN,VB,VB,NN
1377,mean,VB,NN,VB,VB,VB,VB,VB
1378,var,NNP,NN,NN,NN,NNP,NN,UH
1379,sum,NN,NN,NN,NN,VB,UH,NN
1380,zeros,NNS,NN,NNS,NNS,NNS,NNS,NNS
1381,ones,NNS,NNS,NNS,NNS,NNS,NNS,NNS
1382,eye,NN,NN,NN,NN,NN,UH,NN
1383,floor divide,NN NN,NN NN,NN NN,NN VB,NN NN,NN NN,NN NN
1384,logical xor,JJ NNP,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
1385,correlate,VB,NN,NN,NN,VB,NN,VB
1386,function,NN,NN,NN,NN,NN,NN,NN
1387,nn ops dynamic shape test,NNP NNP JJ NN NN,JJ NNS JJ NN NN,IN NNS JJ NN NN,JJ NNS JJ NN NN,IN NNS JJ NN NN,AFX NNS JJ NN NN,UH NNS JJ NN NN
1388,softmax layer,NNP NN,NN NN,JJ NN,NN NN,NN NN,NN NN,NN NN
1389,nn ops static shape test,NNP NN JJ NN NN,JJ NNS JJ NN NN,IN NNS JJ NN NN,JJ RB JJ NN NN,IN NNS JJ NN NN,AFX NNS JJ NN NN,UH NNS JJ NN NN
1390,nn ops correctness test,NNP NN NN NN,JJ NNS JJ NN,IN NNS NN NN,JJ NNS NN NN,IN NNS NN NN,AFX NNS NN NN,UH NNS NN NN
1391,test logit recovery,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NN NN NN,NN NN NN
1392,nn ops d type test,NNP NN JJ NN NN,JJ NNS VBP JJ NN,IN NNS NN NN NN,JJ NNS VBN NN NN,IN NNS NN NN NN,AFX NN NN NN NN,UH NNS NN NN NN
1393,linalg ops dynamic shape test,NNP NN JJ NN NN,JJ NNS JJ NN NN,NN NNS JJ NN NN,NN VBZ JJ NN NN,NNP NNS JJ NN NN,NNP VBZ JJ NN NN,NN NNS JJ NN NN
1394,linalg ops static shape test,NNP NN JJ NN NN,JJ NNS JJ NN NN,NN NNS JJ NN NN,NN VBZ JJ NN NN,NNP NNS NNP NN NN,NNP VBZ JJ NN NN,NN NNS JJ NN NN
1395,linalg ops correctness test,NNP NN NN NN,JJ NNS JJ NN,NN NNS NN NN,NN VBZ NN NN,NNP NNP NNP NN,NNP NN NN NN,NN NNS NN NN
1396,qr op test,NNP NN NN,NN MD VB,NNP NN NN,NN NN NN,VB NN NN,UH NN NN,NN NN NN
1397,scatter,NN,NN,NN,NN,NN,VB,NN
1398,scatter update,NN NN,NN NN,NN NN,NN NN,NN VB,VB NN,VB NN
1399,slice,NN,NN,NN,NN,VB,VB,NN
1400,slice update,NN NN,NN NN,NN NN,NN NN,NN NN,VB NN,NN NN
1401,while loop,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN,IN NN
1402,stop gradient,VB NN,VB NN,VB NN,NN NN,VB NN,VB NN,VB NN
1403,f ori loop,FW NNP NN,JJ MD VB,NN NN NN,NN NNP NN,NNP NN NN,LS JJ NN,NNP NNP NN
1404,unstack,NNP,NN,JJ,VB,VB,NN,JJ
1405,cast,VB,NN,NN,NN,NN,NN,NN
1406,cond,NNP,NN,NN,NN,NN,JJ,NN
1407,symbolic arguments,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS,JJ NNS
1408,math ops dynamic shape test,NN NN JJ NN NN,NN NNS JJ NN NN,NN NNS JJ NN NN,NN VBZ JJ NN NN,NN NNS JJ NN NN,NN NNS JJ NN NN,NN NNS JJ NN NN
1409,math ops static shape test,NN NN JJ NN NN,NN NNS JJ NN NN,NN NNS JJ NN NN,NN VBZ JJ NN NN,NN NNS JJ NN NN,NN NN JJ NN NN,NN NNS JJ NN NN
1410,math ops correctness test,NN NN NN NN,NN NNS JJ NN,NN NNS NN NN,NN VBZ NN NN,NN NNS NNP NN,NN NNS NN NN,NN NNS NN NN
1411,math d type test,NN FW NN NN,NN NN NN NN,NN NN NN NN,NN VBN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN
1412,extract sequences op test,VB NNS NNP NN,JJ NNS VBP NN,NN NNS NN NN,VB NNS NN NN,NN NNS NN NN,JJ NNS IN NN,NN NNS NN NN
1413,segment sum test,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
1414,segment max test,NN NN NNP,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
1415,top k test,JJ CD NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NNP NN,JJ NN NN,JJ NN NN
1416,in top k test,IN JJ CD NN,IN JJ NN NN,IN JJ CD NN,IN JJ NN NN,IN JJ NN NN,IN JJ NN NN,IN JJ NN NN
1417,logsumexp test,NNP NN,JJ NN,JJ NN,NN NN,NNP NN,NN NN,NN NN
1418,fft test,NNP NN,JJ NN,NN NN,NN NN,NNP NN,NN NN,NN NN
1419,fft 2 test,NNP CD NN,RB CD NN,NN CD NN,NN CD NN,NN CD NN,NN CD NN,NN CD NN
1420,rfft test,NNP NN,NN NN,JJ NN,NN NN,NNS NN,NN NN,JJ NN
1421,istft test,NNP NN,JJ NN,JJ NN,NN NN,NNP NNP,NN NN,NN NN
1422,operation utils test,NN NNS NN,NN NNS NN,NN VBZ NN,NN NNS NN,NN VBZ VBP,NN NNS NN,NN NNS NN
1423,numpy two input ops dynamic shape test,NNP CD NN NN JJ NN NN,RB CD NN NNS JJ NN NN,RB CD NN NNS JJ NN NN,JJ CD NN NNS JJ NN NN,JJ CD NN NNS JJ NN NN,JJ CD NN NNS JJ NN NN,JJ CD NN NNS JJ NN NN
1424,numpy two input ops static shape test,NNP CD NN NN JJ NN NN,RB CD NN NNS JJ NN NN,RB CD NN NNS JJ NN NN,JJ CD NN RB JJ NN NN,JJ CD NN NNS JJ NN NN,JJ CD NN NNS JJ NN NN,NNP CD NN NNS JJ NN NN
1425,numpy one input ops dynamic shape test,NNP CD NN NN JJ NN NN,RB CD NN VBZ JJ NN NN,JJ CD NN NNS JJ NN NN,JJ CD NN NNS JJ NN NN,JJ CD NN NNS JJ NN NN,JJ CD NN NNS JJ NN NN,NN CD NN VBZ JJ NN NN
1426,numpy one input ops static shape test,NNP CD NN NN JJ NN NN,RB CD NN VBZ JJ NN NN,JJ CD NN NNS JJ NN NN,JJ CD NN RB JJ NN NN,JJ CD NN NNS JJ NN NN,JJ CD NN NN JJ NN NN,NN CD NN VBZ JJ NN NN
1427,numpy two input ops corretness test,NNP CD NN NN NN NN,RB CD NN NNS JJ NN,RB CD NN NNS NN NN,JJ CD NN NNS NN NN,JJ CD NN NNS NN NN,JJ CD NN NNS NN NN,NNP CD NN NNS NN NN
1428,numpy one input ops correctness test,NNP CD NN NN NN NN,RB CD NN VBZ JJ NN,JJ CD NN NNS NN NN,JJ CD NN VBZ NN NN,JJ CD NN NNS NN NN,JJ CD NN NNS NN NN,NN CD NN VBZ NN NN
