,SEQUENCE,POS,NLTK,CORENLP,OPENNLP,SPACY,FLAIR,STANZA
2447,data frame group by,NN NN VB IN,NNS NN NN IN,NNS NN NN IN,NNS NN NN IN,NNP NN NN IN,NN NN NN IN,NN NN NN IN
2448,output key,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2449,grouper,NN,NN,NN,NN,VB,NN,NN
2450,grouping,NN,VBG,NN,VBG,VBG,NN,NN
2451,group by plot,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN,NN IN NN
2452,base group by,JJ NN RB,NN NN IN,NN NN IN,NN NN IN,NN NN IN,NN NN IN,NN NN IN
2453,group by,VB IN,NN IN,NN IN,NN IN,NN IN,NN IN,NN IN
2454,join unit,NN NN,NN NN,VB NN,VB NN,VB NN,VB NN,VB NN
2455,block,NN,NN,NN,NN,VB,NN,NN
2456,ea backed block,NNP VBN NN,NN VBD NN,NNP VBD NN,NN VBD NN,PRP VBN NN,`` VBN NN,NNP VBN NN
2457,extension block,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2458,numpy block,NNP NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,NN NN
2459,nd array backed extension block,NNP NN VBN NN NN,JJ NN VBD NN NN,JJ NN VBD NN NN,NN NN VBD NN NN,NNP NNP VBN NN NN,NN NN VBN NN NN,NNP NN VBN NN NN
2460,datetime like block,NN IN NN,NN IN NN,NN IN NN,NN IN NN,RB IN NN,NN UH NN,NN UH NN
2461,datetime tz block,NN NNP NN,NN NN NN,NN NN NN,NN NN NN,JJ NN NN,NN NN NN,NN NN NN
2462,block pair info,NN NN NN,NN NN NN,NN NN NN,NN NN NN,VB NN NN,NN NN NN,VB NN NN
2463,base block manager,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2464,block manager,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2465,single block manager,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2466,concatenator,NN,NN,NN,NN,NN,NN,NNP
2467,merge operation,VB NN,NN NN,VB NN,VBP NN,VB NN,NN NN,VB NN
2468,ordered merge,VBN VB,VBN NN,VBN NN,VBN VBP,VBD NN,VBN NN,VBN NN
2469,as of merge,IN IN VB,IN IN NN,IN IN NN,IN IN VBP,IN IN NN,IN IN NN,IN IN NN
2470,unstacker,NN,NN,NN,NN,JJ,NN,JJ
2471,extension d type,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NN NN NN,NN NN NN,NN NN NN
2472,storage extension d type,NN NN NN NN,NN NN NN NN,NN NN NN NN,NN NN VBD NN,NN NNP XX NN,NN NN NN NN,NN NN NN NN
2473,registry,NN,NN,NN,NN,NN,NN,NN
2474,pandas extension d type,NNP NN NN NN,JJ NN NN NN,NNS NN NN NN,NNS NN VBD NN,VBZ NNP NN NN,NNS NN NN NN,NNS NN NN NN
2475,categorical d type type,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,VB VBD NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN
2476,categorical d type,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2477,datetime tzd type,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,NN NN NN,NN NN NN
2478,period d type,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NN NN NN,NN NN NN,NN NN NN
2479,interval d type,NN NN NN,JJ NN NN,NN NN NN,NN VBD NN,NN NN NN,JJ NN NN,JJ NN NN
2480,numpy ead type,NNP NNP NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NNP NN,JJ NN NN,NN NN NN
2481,base masked d type,JJ VBN NN NN,NN VBD JJ NN,NN VBN NN NN,NN VBD VBN NN,NNP VBD NN NN,NN JJ NN NN,NN VBN NN NN
2482,sparse d type,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN,NNP LS NN,JJ NN NN,JJ NN NN
2483,arrow d type,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NN DT NN,NN NN NN,NN NN NN
2484,nd frame describer abstract,NNP NN NN NN,JJ NN NNP NN,NN NN NN NN,NN NN NN JJ,NNP NNP NNP NN,UH NN NN NN,UH NN NN NN
2485,series describer,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
2486,data frame describer,NN NN NN,NNS NN NN,NNS NN NN,NNS NN NN,NNP NN NN,NN NN NN,NN NN NN
2487,select n,VB CD,NN NN,VB NN,VBP NN,JJ CC,VB .,VB CC
2488,select n series,VB CD NNS,JJ JJ NN,VB NN NN,VBP NN NN,JJ NNP NN,NN CD NN,VB CC NN
2489,select n frame,VB CD NN,JJ NN NN,VB NN NN,VBP NN NN,JJ CC NN,VB DT NN,VB CC NN
2490,object string array mixin,NN NN NN NN,JJ VBG NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NNP,NN NN NN NN,NN NN NN NN
2491,base string array methods,JJ NN NN NNS,NN VBG NN NNS,NN NN NN NNS,JJ NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN NN NN NNS
2492,string methods,NN NNS,VBG NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
2493,string d type,NN NN NN,VBG NN NN,NN NN NN,NN VBD NN,NNP DT NN,NN NN NN,NN NN NN
2494,base string array,JJ NN NN,NN NN NN,NN NN NN,JJ NN NN,NN NN NN,NN NN NN,NN NN NN
2495,string array,NN NN,VBG NN,NN NN,NN NN,NN NN,NN NN,NN NN
2496,period array,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2497,numpy extension array,NN NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NNP NN,JJ NN NN,NN NN NN
2498,interval array,NN NN,JJ NN,NN NN,NN NN,NN NN,JJ NN,NN NN
2499,numeric d type,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NN NN,JJ NN NN,JJ NN NN
2500,numeric array,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2501,base masked array,JJ VBN NN,NN VBD NN,NN JJ NN,JJ JJ NN,NNP VBD NN,NN VBD NN,NN VBN NN
2502,nd array backed extension array,NNP NN VBN NN NN,JJ NN VBD NN NN,JJ NN VBD NN NN,NN NN VBD NN NN,NNP NNP VBN NN NN,`` NN VBN NN NN,NN NN VBN NN NN
2503,boolean d type,NN NN NN,JJ NN NN,JJ NN NN,VB VBD NN,NNP NNP NN,NN NN NN,NN NN NN
2504,boolean array,NN NN,JJ NN,JJ NN,JJ NN,NNP NNP,JJ NN,NN NN
2505,extension array,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2506,extension array supports any all,NN NN VBZ DT DT,NN NN VBZ DT DT,NN NN VBZ RB RB,NN NN VBZ DT RB,NN NN VBZ DT DT,NN NN VBZ DT RB,NN NN VBZ DT DT
2507,extension ops mixin,NN NN NN,NN NNS NN,NN NNS NN,NN NNS .,NN NNS NN,NN VBZ NN,NN NNS NN
2508,extension scalar ops mixin,NN NN NN NN,NN JJ NNS NN,NN JJ NNS NN,NN NN NNS .,NN JJ NNS NN,NN NN VBZ NN,NN NN NNS NN
2509,arrow string array mixin,NN NN NN NN,NN VBG NN NN,NN NN NN NN,JJ NN NN NN,NN NN NN NNP,JJ NN NN NN,NN NN NN NN
2510,datetime array,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
2511,floating d type,JJ NN NN,VBG NN NN,VBG NN NN,VBG JJ NN,VBG XX NN,VBG NN NN,VBG NN NN
2512,floating array,JJ NN,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN
2513,float32 d type,NNP NN NN,NN NN NN,NN NN NN,VB VBD NN,NNP DT NN,NN NN NN,NN NN NN
2514,float64 d type,NNP NN NN,NN NN NN,NN NN NN,VB VBD NN,VBD DT NN,NN NN NN,NNP NN NN
2515,categorical,JJ,JJ,JJ,NN,JJ,JJ,JJ
2516,categorical accessor,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
2517,arrow string array,NN NN NN,NN VBG NN,NN NN NN,JJ NN NN,NN NN NN,JJ NN NN,NN NN NN
2518,arrow string array numpy semantics,NN NN NN NNP NN,NN VBG NN JJ NNS,NN NN NN JJ NNS,JJ NN NN JJ NNS,NN NNP NNP NNP NNS,JJ NN NN JJ NNS,NN NN NN JJ NN
2519,integer d type,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NNP NNP NN,NN NN NN,NN NN NN
2520,integer array,NN NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
2521,int8 d type,NNP NN NN,NN NN NN,NN NN NN,IN NN NN,NNP NNP NN,CD NN NN,NNP NN NN
2522,int16 d type,NNP NN NN,NN NN NN,NN NN NN,IN NN NN,NNS NN NN,CD NN NN,JJ NN NN
2523,int32 d type,NNP NN NN,NN NN NN,NN NN NN,IN NN NN,NNP NN NN,CD NN NN,JJ NN NN
2524,int64 d type,NN NN NN,NN NN NN,NN NN NN,IN NN NN,NNP NN NN,CD NN NN,JJ NN NN
2525,uint8 d type,NNP NN NN,JJ NN NN,NN NN NN,CD VBD NN,NNP NN NN,NN NN NN,NNP NNP NN
2526,uint16 d type,NNP NN NN,JJ NN NN,NN NN NN,CD VBD NN,NNP DT NN,NN NN NN,NNP NN NN
2527,uint32 d type,NNP NN NN,JJ NN NN,NN NN NN,CD VBD NN,NNP DT NN,NN NN NN,CD NN NN
2528,uint64 d type,NNP NN NN,JJ NN NN,NN NN NN,CD VBD NN,NNP DT NN,CD NN NN,NNP NNP NN
2529,timedelta array,NNP NN,NN NN,JJ NN,NN NN,NNP NNP,NNP NN,NN NN
2530,datetime like array mixin,NN IN NN NN,NN IN NN NN,NN IN NN NN,NN IN NN NN,RB IN NN NNP,NN UH NN NN,NN UH NN NN
2531,date like ops,NN IN NN,NN IN NNS,NN IN NNS,NN IN NNS,NN IN NNS,NN UH NNS,NN IN NNS
2532,time like ops,NN IN NN,NN IN NNS,NN IN NNS,NN IN NNS,NN IN NNS,NN UH VBZ,NN IN NNS
2533,base accessor,JJ NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
2534,sparse accessor,JJ NN,NN NN,JJ NN,JJ NN,NNP VB,JJ NN,JJ NN
2535,sparse frame accessor,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN,NNP NNP NN,JJ NN NN,JJ NN NN
2536,ellipsis,NN,NN,NN,NN,NN,NNS,NN
2537,sparse array,JJ NN,JJ NN,JJ NN,JJ NN,NNP VB,JJ NN,JJ NN
2538,arrow period type,NN NN NN,JJ NN NN,NN NN NN,VB NN NN,NN NN NN,NN NN NN,NN NN NN
2539,arrow interval type,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,JJ NN NN,NN NN NN
2540,forbidden extension type,JJ NN NN,JJ NN NN,JJ NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN
2541,arrow accessor,NN NN,NN NN,NN NN,NN NN,NNP NN,JJ NN,NN NN
2542,list accessor,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2543,struct accessor,NN NN,NN NN,JJ NN,NN NN,NN NN,VB NN,JJ NN
2544,arrow extension array,NN NN NN,JJ NN NN,NN NN NN,JJ NN NN,NN NN NN,NN NN NN,NN NN NN
2545,base indexer,JJ NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
2546,fixed window indexer,JJ NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN,VBN NN NN
2547,variable window indexer,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
2548,variable offset window indexer,JJ NN NN NN,JJ NN NN NN,JJ VBN NN NN,JJ VBN NN NN,JJ JJ NN NN,JJ NN NN NN,JJ NN NN NN
2549,expanding indexer,JJ NN,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN
2550,fixed forward window indexer,JJ JJ NN NN,VBN RB NN NN,VBN RB NN NN,VBN RB NN NN,VBN RB NN NN,VBN JJ NN NN,VBN JJ NN NN
2551,groupby indexer,NNP NN,NN NN,JJ NN,NN NN,VBD NN,NN NN,NN NN
2552,exponential moving window indexer,JJ JJ NN NN,JJ VBG NN NN,JJ VBG NN NN,JJ VBG NN NN,JJ VBG NN NN,JJ NN NN NN,JJ NN NN NN
2553,exponential moving window,JJ JJ NN,JJ VBG NN,JJ VBG NN,JJ VBG NN,JJ VBG NN,JJ NN NN,JJ NN NN
2554,exponential moving window groupby,JJ JJ NN NNP,JJ VBG NN NN,JJ VBG NN NN,JJ VBG NN NN,JJ VBG NN NN,JJ NN NN NN,JJ NN NN NN
2555,online exponential moving window,JJ JJ JJ NN,JJ JJ NN NN,RB JJ VBG NN,RB JJ VBG NN,JJ JJ VBG NN,JJ JJ NN NN,JJ JJ NN NN
2556,ewm mean state,NNP JJ NNP,JJ NN NN,FW VB NN,NN VBP NN,NNP NNP NN,UH VB NN,NNP VB NN
2557,base window,JJ NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
2558,base window groupby,JJ NN NNP,NN NN NN,NN NN NN,NN NN NN,NNP NN NN,NN NN NN,NN NN NN
2559,window,NN,NN,NN,NN,NN,NN,NN
2560,rolling and expanding mixin,JJ CC JJ NN,NN CC VBG NN,VBG CC VBG NN,VBG CC VBG NN,VBG CC VBG NN,VBG CC VBG NN,VBG CC VBG NN
2561,rolling,JJ,VBG,VBG,VBG,VBG,VBG,NN
2562,rolling groupby,JJ NNP,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN,VBG NN
2563,expanding,JJ,VBG,VBG,VBG,VBG,VBG,VBG
2564,expanding groupby,JJ NNP,VBG NN,VBG NN,VBG NN,VBG JJ,VBG NN,VBG NN
2565,test nanops data frame,VB NNPS NN NN,NN NNS NNS NN,NN NNS NNS NN,NN VBZ NNS NN,NN VBZ NNP NN,NN NNS NN NN,NN NN NNS NN
2566,test ensure numeric,VB VB NNP,NN VB JJ,NN VB JJ,NN VB JJ,NN VB NNP,NN VB JJ,NN VB NN
2567,test nan var fixed values,VB NNP NN VBN NNS,NN NN NN VBN NNS,NN NNP NN VBN NNS,NN NN VBN VBN NNS,NNP NNP NNP VBN NNS,NN JJ NN VBN NNS,NN NN NN VBN NNS
2568,test nan skew fixed values,VB NNP JJ VBN NNS,NN NN NN VBN NNS,NN NNP VB VBN NNS,NN NN VBD VBN NNS,NNP NNP VBP VBN NNS,NN UH VB VBN NNS,NN NN NN VBN NNS
2569,test nan kurt fixed values,VB NNP NNP VBN NNS,NN NN NN VBD NNS,NN NNP NNP VBD NNS,NN NN VBN VBN NNS,NNP NNP NNP VBN NNS,NN JJ NN VBN NNS,NN NN NNP VBN NNS
2570,test datetime 64 na n ops,VB NNP CD NNP NN NN,NN NN CD JJ NNS NNS,NN NN CD TO NN NNS,NN NN CD TO NN NNS,NN NNP CD IN NN NNS,NN NN CD NN NN VBZ,NN NN CD NN CC NN
2571,test factorize,VB VB,NN NN,NN NN,NN NN,NN VBP,NN NN,NN NN
2572,test unique,VB JJ,NN NN,NN JJ,NN JJ,NN JJ,NN JJ,NN JJ
2573,test i sin,NN PRP NNP,NN NN NN,NN PRP VBP,NN NN NN,NN PRP VBP,NN PRP VBP,NN PRP NN
2574,like nan,IN NNP,IN NNS,UH NNP,IN NN,IN NNP,UH NNP,IN NN
2575,test value counts,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN VBZ,NN NN VBZ,NN NN VBZ
2576,test duplicated,VB VBN,NN VBD,NN VBN,NN VBN,NN VBN,NN VBN,NN VBN
2577,test hash table,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2578,test rank,VB NN,NN NN,NN NN,NN NN,NNP NNP,NN NN,NN NN
2579,test mode,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2580,test diff,VB NN,NN NN,NN NN,NN NN,NN NNP,NN NN,NN NN
2581,test take,VB VB,NN NN,NN NN,NN VB,NN VB,NN VB,NN NN
2582,test extension take,VB NN VB,NN NN VB,NN NN NN,NN NN VBP,NN NN VBP,NN NN VBP,NN NN NN
2583,x,FW,NN,LS,NN,VBD,LS,NN
2584,my accessor,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN
2585,bad,JJ,JJ,JJ,JJ,JJ,JJ,JJ
2586,some call,DT NN,DT NN,DT NN,DT NN,DT NN,DT NN,DT NN
2587,test is bool indexer,NN VBZ NN NN,NN VBZ JJ NN,NN VBZ NN NN,NN VBZ NN NN,NN VBZ NNP NN,NN VBZ NN NN,NN VBZ NN NN
2588,my list,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN
2589,test flags,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
2590,test multi level,NN JJ NN,NN NN NN,NN JJ NN,NN JJ NN,NN NNP NN,NN JJ NN,NN JJ NN
2591,test sorted,VB VBN,NN VBD,NN VBN,NN VBN,NN VBD,NN VBN,NN VBN
2592,test expressions,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
2593,my class,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN,PRP$ NN
2594,foo,NNP,NN,NN,NN,NN,NN,NN
2595,test sorting,VB NN,NN NN,NN NN,NN VBG,NN VBG,NN NN,NN NN
2596,test merge,VB VB,NN NN,NN NN,NN VBP,NN VB,NN NN,NN NN
2597,test safe sort,VB JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,VB JJ NN,NN JJ NN,NN JJ NN
2598,my ea,PRP$ NNP,PRP$ NN,PRP$ NNP,PRP$ NN,PRP$ NN,PRP$ UH,PRP$ NN
2599,test extension array,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
2600,test masked arrays,VB VBN NNS,NN VBD NNS,NN VBN NNS,NN VBD NNS,NN VBN NNS,NN VBN NNS,NN VBN NNS
2601,test 2 d compat,VB CD NN NN,NN CD NN NN,NN CD NN NN,NN CD NN NN,NN CD NN NN,NN CD NN NN,NN CD NN NN
2602,test sparse array,VB JJ NN,NN NN NN,NN JJ NN,NN JJ NN,NN NNP VBP,NN JJ NN,NN JJ NN
2603,test string array,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
2604,test interval array,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN JJ NN,NN NN NN
2605,test arrow array,VB NN NN,NN NN NN,NN NN NN,NN NN NN,VB NNP NN,NN NN NN,NN NN NN
2606,test logical ops,VB NN NNS,RB JJ NNS,NN JJ NNS,NN JJ NNS,NN JJ NNS,NN JJ NNS,NN JJ NNS
2607,old arrow extension array,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN,JJ JJ NN NN,JJ NN NN NN,JJ NN NN NN,JJ NN NN NN
2608,dummy d type,JJ NN NN,NN NN NN,JJ NN NN,JJ NN NN,NNP NN NN,JJ NN NN,NN NN NN
2609,dummy array,JJ NN,JJ NN,JJ NN,JJ NN,NNP NN,JJ NN,NN NN
2610,test extension array d type,VB NN NN NN NN,NN NN NN NN NN,NN NN NN NN NN,NN NN NN VBD NN,NN NNP NNP NNP NN,NN NN NN NN NN,NN NN NN NN NN
2611,capturing string array,VBG NN NN,VBG VBG NN,VBG NN NN,VBG NN NN,VBG NN NN,VBG NN NN,VBG NN NN
2612,test numpy extension array,VB NN NN NN,NN JJ NN NN,NN JJ NN NN,NN JJ NN NN,NN NNP NNP NN,NN JJ NN NN,NN NN NN NN
2613,test datetime array,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NNP,NN NN NN,NN NN NN
2614,test period array,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
2615,test categorical,VB JJ,NN NN,NN JJ,NN MD,NN JJ,NN JJ,NN JJ
2616,float attr d type,NN NN NN NN,NN NN NN NN,VB NN NN NN,NN IN NN NN,VB NNP XX NN,NN NN NN NN,VB NN NN NN
2617,float attr array,NN NN NN,NN NN NN,NN NN NN,NN NN NN,VB NNP NNP,NN NN NN,VB NN NN
2618,list d type,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NN DT NN,NN NN NN,VB NN NN
2619,list array,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2620,date d type,NN NN NN,NN NN NN,NN NN NN,NN VBD NN,NN XX NN,NN NN NN,NN NN NN
2621,date array,NN NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
2622,base set item tests,JJ NN NN NNS,NN VBN NN NNS,NN VBN NN NNS,NN VBN NN NNS,NN VBN NN NNS,NN NN NN NNS,NN NN NN NNS
2623,base parsing tests,JJ VBG NNS,NN NN NNS,NN VBG NNS,NN NN NNS,NN VBG NNS,NN NN NNS,NN NN NNS
2624,base casting tests,JJ VBG NNS,NN NN NNS,NN NN NNS,JJ NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
2625,base reduce tests,JJ VB NNS,NN VB NNS,NN VBP NNS,NN VB NNS,NN VB NNS,NN VBP NNS,NN VB NNS
2626,base printing tests,JJ VBG NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
2627,base missing tests,JJ VBG NNS,NN VBG NNS,NN VBG NNS,NN VBG NNS,NN VBG NNS,NN NN NNS,NN JJ NNS
2628,base ops util,JJ NNS NN,NN VBZ JJ,NN NNS NN,NN NNS NN,NN NNS NN,NN VBZ JJ,NN NNS NN
2629,base arithmetic ops tests,JJ JJ NNS NNS,NN JJ NNS NNS,NN NN NNS NNS,NN JJ NNS NNS,NN JJ NNS NNS,NN NN NNS NNS,NN NN NNS NNS
2630,base comparison ops tests,JJ NN NNS NNS,NN NN VBZ NNS,NN NN NNS NNS,NN NN VBZ NNS,NN NN NNS NNS,NN NN NNS NNS,NN NN NNS NNS
2631,base unary ops tests,JJ JJ NNS NNS,NN JJ NNS NNS,NN JJ NNS NNS,NN JJ NNS NNS,JJ JJ NNS NNS,NN JJ NNS NNS,NN NN NNS NNS
2632,base accumulate tests,JJ VB NNS,NN NN NNS,NN VBP NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN VB NNS
2633,base d type tests,JJ NN NN NNS,NN NN NN NNS,NN NN NN NNS,NN VBD NN NNS,NNP NN NN NNS,NN NN NN NNS,NN NN NN NNS
2634,base constructors tests,JJ NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS
2635,base extension tests,JJ NN NNS,NN NN NNS,NN NN NNS,JJ NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
2636,dim 2 compat tests,NN CD NN NNS,NN CD NN NNS,JJ CD NN NNS,JJ CD NN NNS,VBP CD NN NNS,NN CD NN NNS,VB CD NN NNS
2637,nd array backed 2d tests,NNP NN VBN NNP NNS,JJ NN VBD CD NNS,JJ NN VBD NN NNS,NN NN VBD JJ NNS,NNP NNP VBD NNP NNS,NN NN VBN CD NNS,NN NN VBN NN NNS
2638,base interface tests,JJ NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
2639,base get item tests,JJ VB NN NNS,NN VB NN NNS,NN VBP NN NNS,NN VB NN NNS,NN VBP NN NNS,NN VB NN NNS,NN VB NN NNS
2640,base index tests,JJ NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NN NNS
2641,base methods tests,JJ NNS NNS,NN NNS NNS,NN NNS NNS,JJ NNS NNS,NN NNS NNS,NN NNS NNS,NN NNS NNS
2642,extension tests,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
2643,base reshaping tests,JJ VBG NNS,NN NN NNS,NN NN NNS,NN VBG NNS,NN NN NNS,NN NN NNS,NN NN NNS
2644,base groupby tests,JJ NNP NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN VBN NNS,NN NN NNS,NN NN NNS
2645,jsond type,NNP NN,NN NN,NN NN,NN NN,NNP NN,NN NN,NN NN
2646,json array,NNP NN,NN NN,NN NN,NN NN,NNP NNP,NNP NNP,NN NN
2647,test json array,VB NNP NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NNP,NN NN NN,NN NN NN
2648,decimal d type,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,NNP NN NN,JJ NN NN,JJ NN NN
2649,decimal array,JJ NN,JJ NN,JJ NN,JJ NN,NNP NN,JJ NN,JJ NN
2650,test decimal array,VB JJ NN,NN NN NN,NN JJ NN,NN NN NN,VB NNP NN,NN JJ NN,NN JJ NN
2651,decimal array without from sequence,JJ NN IN IN NN,JJ NN IN IN NN,JJ NN IN IN NN,JJ NN IN IN NN,JJ NN IN IN NN,JJ NN IN IN NN,JJ NN IN IN NN
2652,decimal array without coercion,JJ NN IN NN,JJ NN IN NN,JJ NN IN NN,JJ NN IN NN,JJ NN IN NN,JJ NN IN NN,JJ NN IN NN
2653,test set ops,VB NN NNS,NN NN NNS,NN VBN NNS,NN NN NNS,NN VBN NNS,NN NN VBZ,NN NN NNS
2654,test set ops unsorted,VB NN NNS JJ,NN VBN NNS VBD,NN VBN NNS JJ,NN NN VBZ JJ,NN VBN NNS JJ,NN NN VBZ JJ,NN NN NNS JJ
2655,test contains,VB VBZ,NN NNS,NN VBZ,NN VBZ,NN VBZ,NN VBZ,NN VBZ
2656,test get loc,VB VB NN,NN NN NN,NN VBP NN,NN VB NN,NN VB NN,NN VB NN,NN VB NN
2657,e,FW,NN,NN,NN,LS,NFP,NNP
2658,test get indexer,VB VB NN,NN NN NN,NN VBP NN,NN VB RB,NN VB NN,NN VB NN,NN VB NN
2659,test convert slice indexer,VB VB NN NN,NN NN NN NN,NN NN NN NN,NN VB NN NN,NN NNP NN NN,NN VB NN NN,NN NN NN NN
2660,test put mask,VB VB NN,NN VBD NN,NN VBD NN,NN VBD NN,NN VBD NN,NN VBN NN,NN VBN NN
2661,custom index,JJ NN,NN NN,NN NN,NN NN,NNP NN,NN NN,JJ NN
2662,test datetime engine,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NNP NN,NN NN NN,NN NN NN
2663,test timedelta engine,VB NNP NN,NN NN NN,NN NN NN,NN NN NN,NNP NNP NN,NN NN NN,NN NN NN
2664,test numeric engine,VB JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN,NN JJ NN
2665,test object engine,VB NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN,NN NN NN
2666,test datetime like,VB NN NNP,NN NN IN,NN NN UH,NN NN IN,VB RB IN,NN NN UH,NN NN UH
2667,test common,VB JJ,NN JJ,NN JJ,NN JJ,VBP JJ,NN JJ,NN NN
2668,test conversion,VB NN,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2669,test round trips,VB NN NNS,NN NN NNS,NN NN NNS,NN NN NNS,NN NNP NNS,NN NN NNS,NN NN NNS
2670,test indexing,VB VBG,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
2671,test rendering,VB VBG,NN NN,NN NN,NN VBG,NN VBG,NN NN,NN NN
2672,test reductions,VB NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS,NN NNS
2673,test index constructor inference,VB NN NN NN,NN NN NN NN,NN NN NN NN,NN NN NN NN,NNP NNP NNP NN,NN NN NN NN,NN NN NN NN
